s1_entity_id,country,has_true_pair,num_true_matches,true_target_sources,true_target_ids,name_raw,addr_raw,name_normalized,addr_normalized,routes_attempted,nearest_gt_name_similarity,category
S1-16919297,India,True,5,"S2,S3","S2-893517295,S3-919457258,S2-744071494,S2-925579319,S2-303466178",Services Divine Education Private Limite,"Bl-2 B-104, Wakadi, Green Acre, Ph-Ii Pa",services divine education private limite,bl 2 b 104 wakadi green acre ph ii panve,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-892177364,India,True,3,"S3,S2","S3-654994160,S3-342647920,S2-440296721",San & Brothers Private Limited,"H. No. 86, Sainik Society, Sarojini Naga",san and brothers private limited,h number 86 sainik society sarojini naga,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",93.33,B_True_Matched_Retrieval_Failure
S1-480881552,US,True,3,"S3,S2","S3-347598748,S2-848206490,S2-422650471",Vision Rocky Center L.L.C.,"Bowie, TX, 461 Clubview Drive",vision rocky center l l c,bowie tx 461 clubview drive,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",96.15,B_True_Matched_Retrieval_Failure
S1-218468123,India,True,3,"S3,S2","S3-379997893,S3-243194561,S2-598195596",Surat City Foundation Pvt. Ltd.,"Plot No 86, First Floor, Old Gidc, Filpa",surat city foundation private limited,plot number 86 first floor old gidc filp,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",98.36,B_True_Matched_Retrieval_Failure
S1-166725907,India,False,0,,,Circle Oil Limited,"C/O Shri Shivram Raut, C H Road, Balagha",circle oil limited,c o shri shivram raut c h road balaghat ,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-657111348,US,True,3,"S3,S2","S3-308030535,S3-810905415,S2-680097885",Bailey Summit Bancorp LLC,"Unit APT H, AL, 3231 Virginia Pines Lane",bailey summit bancorp limited liability ,unit apartment h al 3231 virginia pines ,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-972480177,India,True,6,"S2,S3","S2-260463077,S3-517545241,S2-76741439,S3-252501481,S2-798821281,S3-69966585",Av Memorial Trust,"1St Floor, Subhadra House, 11 Joy Builde",av memorial trust,1st floor subhadra house 11 joy builders,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-659472026,India,True,4,"S3,S2","S3-634905548,S2-703406397,S3-271342943,S3-541533305",Hotel Jay Investment Private Limited,"D-112 Gali No 4, Ganga Vihar, Delhi",hotel jay investment private limited,d 112 gali number 4 ganga vihar delhi,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",81.97,B_True_Matched_Retrieval_Failure
S1-266926946,India,True,2,"S2,S3","S2-344502278,S3-664214737",Super Resorts Private Limited,"Plot No. 93, Aditya Hill Paradise, Telan",super resorts private limited,plot number 93 aditya hill paradise tela,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",91.3,B_True_Matched_Retrieval_Failure
S1-88895806,India,True,1,S3,S3-576575184,Energy Vr Textile Private Limited,"West Bengal, Howrah, Natun Para, Kolkata",energy vr textile private limited,west bengal howrah natun para kolkata te,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-624859382,India,True,2,"S3,S2","S3-350254184,S2-944701179",Krishna Shivam Management Private Limite,"Basement Floorjingadi Market Chikpet, 75",krishna shivam management private limite,basement floorjingadi market chikpet 757,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",9.52,B_True_Matched_Retrieval_Failure
S1-932138192,India,True,9,"S3,S2","S3-691060775,S3-157299910,S2-75047746,S2-550373325,S3-696646158,S3-878953606,S2-928188144,S2-309271641,S3-144063285",Regency Law Chambers,"Rajesh Choudhary Vill./P.O.- Babhni, Sin",regency law chambers,rajesh choudhary vill p o babhni singhes,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-568003898,US,True,3,"S3,S2","S3-151174731,S2-504530927,S2-161865481",Cultural Sterling Fund,"TN, 345 Oak Grove Road, Gray",cultural sterling fund,tn 345 oak grove road gray,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-866445183,US,True,3,"S2,S3","S2-112693075,S2-786761888,S3-646417536",Hunt Empire Crest,"Raleigh, NC, 7900 Westfall Lane",hunt empire crest,raleigh nc 7900 westfall lane,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-637974627,India,True,3,"S3,S2","S3-707092634,S2-14441532,S3-929164487",Eye Technologies (India) Private Limited,"5Th Floor, Office No 533, Vishala Suprem",eye technologies india private limited,5th floor office number 533 vishala supr,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",94.12,B_True_Matched_Retrieval_Failure
S1-609034256,US,True,2,"S2,S3","S2-823295538,S3-273216704",American Foundation IV LLC,"Topeka, KS, 1260 Medford Avenue",american foundation iv limited liability,topeka ks 1260 medford avenue,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-163977091,US,False,0,,,Premier Better Precision LLC,"NY, Johnson City, 107 Bernice Street",premier better precision limited liabili,ny johnson city 107 bernice street,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-557680801,India,True,3,"S2,S3","S2-609545901,S3-731843002,S3-525809986",Happy Nursing Home Private Limited,"Urminhouse, 1Stfloor, Sindhubhavanroad, ",happy nursing home private limited,urminhouse 1stfloor sindhubhavanroad bes,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",93.75,B_True_Matched_Retrieval_Failure
S1-92884043,India,True,5,"S2,S3","S2-60793248,S3-698738657,S2-534631994,S2-609467463,S3-431765338",Allied Vidyalaya LLP,"Basement, Plot No. 65, Sector-12A Dwarka",allied vidyalaya limited liability partn,basement plot number 65 sector 12a dwark,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",95.0,B_True_Matched_Retrieval_Failure
S1-903847319,India,True,2,S3,"S3-314709160,S3-836004834",Allied Hill LLP,"A-136, Basement, Sector-8, Dwarka, New D",allied hill limited liability partnershi,a 136 basement sector 8 dwarka new delhi,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",55.17,B_True_Matched_Retrieval_Failure
S1-654141342,India,True,3,"S2,S3","S2-689275088,S3-909759726,S3-308418561",Coimbatore Credit Private Limited,"Rishikesh, Old No.67-A, New No.100 Karun",coimbatore credit private limited,rishikesh old number 67 a new number 100,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",97.06,B_True_Matched_Retrieval_Failure
S1-764819434,US,True,4,"S3,S2","S3-48749501,S3-121233997,S2-478488173,S3-999438884",Unified Medical Laboratories LLC,"Fort Wayne, IN, 1157 Oakdale Drive",unified medical laboratories limited lia,fort wayne in 1157 oakdale drive,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",98.41,B_True_Matched_Retrieval_Failure
S1-343709657,US,True,3,"S2,S3","S2-396963081,S2-424899895,S3-18178885",Horizon Data Digital Corporation,"UT, Cedar City, 1476 625",horizon data digital corporation,ut cedar city 1476 625,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-135869055,India,True,6,"S2,S3","S2-607597099,S2-968781332,S3-166240964,S3-986061131,S3-953360229,S3-831697646",Jain Big Healthcare Private Limited,"S/O Madan Lal, St. No., 1/1, Saraabha Na",jain big healthcare private limited,s o madan lal street number 1 1 saraabha,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",97.22,B_True_Matched_Retrieval_Failure
S1-873992785,India,True,3,"S2,S3","S2-413443102,S3-192070554,S3-549084420",Balaji Unique Logistics Private Limited,"S No 114/2/2 Premlok Colony, Nadhe Nagar",balaji unique logistics private limited,s number 114 2 2 premlok colony nadhe na,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",86.11,B_True_Matched_Retrieval_Failure
S1-884926453,US,True,5,"S3,S2","S3-244491901,S3-616780639,S3-431044600,S3-464157836,S2-272049500",Anchor Modern Range Inc,"VA, Norfolk City, 5401 Curlew Drive",anchor modern range incorporated,va norfolk city 5401 curlew drive,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",97.87,B_True_Matched_Retrieval_Failure
S1-698185127,India,True,5,"S2,S3","S2-255514333,S2-924419599,S2-929773377,S2-922959899,S3-536358446",Hitech United Media Limited,"Haryana, 4Th Floor, Tower A-4, Commercia",hitech united media limited,haryana 4th floor tower a 4 commercial c,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",92.0,B_True_Matched_Retrieval_Failure
S1-715250188,India,True,4,"S3,S2","S3-896756745,S2-293281166,S2-503216274,S2-681231494",Shivam Ss Exports Pvt Ltd,"Flat No. 304, 3Rd Floor, Association Of ",shivam ss exports private limited,flat number 304 3rd floor association of,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",90.57,B_True_Matched_Retrieval_Failure
S1-147130639,India,True,7,"S3,S2","S3-938833116,S3-693017746,S3-757942489,S2-928241238,S2-94108533,S2-265517601,S3-676175120",Digital Ace Investment Pvt Ltd,"#172, 2Nd Main, Rmv 2Nd Stage, 1St Block",digital ace investment private limited,172 2nd main rmv 2nd stage 1st block ban,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-35668036,US,True,3,"S3,S2","S3-81997505,S3-967068650,S2-777863965",Desert Optimal Partners Inc,"Mount Pleasant, 5 Lundys Lane, NY",desert optimal partners incorporated,mount pleasant 5 lundys lane ny,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-175826460,India,True,7,"S3,S2","S3-620093919,S2-542214061,S3-248633960,S2-993246406,S2-634277144,S3-848925876,S3-265415006",Mercury Software Private Limited,"G Flr-Fr 172/7 Picnic, Garden Road Lp-9/",mercury software private limited,g flr fr 172 7 picnic garden road lp 9 1,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",93.33,B_True_Matched_Retrieval_Failure
S1-318345003,India,False,0,,,India & Co Pvt Ltd,"Plot No 154/1529, Reghunath Nagar, Bhuba",india and company private limited,plot number 154 1529 reghunath nagar bhu,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-445226603,India,True,2,"S2,S3","S2-995926989,S3-794803846",Sun Tech Software Private Limited,"A 1206, Pearl Height Chs Ltd, Opp Villag",sun tech software private limited,a 1206 pearl height chs ltd opp village ,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",91.8,B_True_Matched_Retrieval_Failure
S1-707310292,India,True,1,S2,S2-819004366,Engineering Infra (India) Private Limite,"Shri Premraj Sakharam Kubde H.No. 107, G",engineering infra india private limited,shri premraj sakharam kubde h number 107,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",89.19,B_True_Matched_Retrieval_Failure
S1-506587396,India,True,2,"S2,S3","S2-533152396,S3-667179217",Life Arihant Healthcare Private Limited,"Rc-82, Ghaziabad, Uttar Pradesh, Ghaziab",life arihant healthcare private limited,rc 82 ghaziabad uttar pradesh ghaziabad ,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",10.39,B_True_Matched_Retrieval_Failure
S1-98578311,India,True,2,S3,"S3-36560157,S3-183917592",Enterprise Global,"New No 3. (Old 211), Gokaldas Platinum, ",enterprise global,new number 3 old 211 gokaldas platinum u,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-204238916,India,True,3,"S3,S2","S3-536611483,S3-524027449,S2-237859959",Coimbatore South Foundation Private Limi,"No.68B/2, Nadar Colony, Nanjundapuram Rd",coimbatore south foundation private limi,number 68b 2 nadar colony nanjundapuram ,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-420366076,US,True,3,"S3,S2","S3-52377313,S3-381689104,S2-913061317",Saint Cloud Housing Gulf Fellowship LP,"MN, 1826 37 Street, Saint Cloud",saint cloud housing gulf fellowship lp,mn 1826 37 street saint cloud,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",97.44,B_True_Matched_Retrieval_Failure
S1-119283858,US,True,1,S3,S3-759107544,Henderson Term,"Springfield, MO, 1256 Jaylin Avenue",henderson term,springfield mo 1256 jaylin avenue,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",92.86,B_True_Matched_Retrieval_Failure
S1-810023253,India,True,1,S3,S3-906554614,Dynamic Indian Engineering Private Limit,"Flat No. Gw/1204 Block-H Sec-1, Green Wo",dynamic indian engineering private limit,flat number gw 1204 block h sec 1 green ,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",48.57,B_True_Matched_Retrieval_Failure
S1-894915419,India,True,2,"S3,S2","S3-393256446,S2-466821027",Faridabad Products Associates,"Flat No 102 Basement No 102 Block Iii, E",faridabad products associates,flat number 102 basement number 102 bloc,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-679399218,India,True,4,"S3,S2","S3-326497877,S2-611879874,S2-291405600,S3-124882722",Golden Balaji Investments Limited,"No. 150 Perungudi Industrial Estate, Che",golden balaji investments limited,number 150 perungudi industrial estate c,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",95.38,B_True_Matched_Retrieval_Failure
S1-40012779,US,True,4,"S3,S2","S3-822527927,S3-486583009,S2-172424450,S3-836436084",Heartland Society P.C.,"Little Rock, AR, 5419 Robin Road",heartland society p c,little rock ar 5419 robin road,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",95.65,B_True_Matched_Retrieval_Failure
S1-768750776,India,True,4,"S3,S2","S3-61191363,S2-704999668,S2-389341810,S3-439851486",Good Hotel Foods Private Limited,"West Bengal, Kolkata, 113 Park Street4Th",good hotel foods private limited,west bengal kolkata 113 park street4th f,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",82.35,B_True_Matched_Retrieval_Failure
S1-774710077,US,True,4,"S2,S3","S2-849971331,S2-243258318,S2-21461957,S3-146598321",Beck Capstone PLLC,"TX, Alvin, 89 Cr 249",beck capstone pllc,tx alvin 89 cr 249,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",88.24,B_True_Matched_Retrieval_Failure
S1-731072637,India,False,0,,,Dynamic Green Engineering Pvt Ltd,"E-59, Naraina Vihar, New Delhi, Delhi",dynamic green engineering private limite,e 59 naraina vihar new delhi delhi,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-996499655,US,True,1,S3,S3-258153849,Hunt Sciences Inc,"Albany, 19 Stanwix Street, NY, Unit Apar",hunt sciences incorporated,albany 19 stanwix street ny unit apartme,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",88.24,B_True_Matched_Retrieval_Failure
S1-123726116,India,True,1,S2,S2-377621356,Shree Aditya International Pvt Ltd,"D-464, Delhi, New Delhi, Godhra Plaza Se",shree aditya international private limit,d 464 delhi new delhi godhra plaza secto,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",12.31,B_True_Matched_Retrieval_Failure
S1-972215296,India,True,3,S2,"S2-396151789,S2-585307275,S2-464181896",Aditya Systems LLP,"Maharashtra, Thane, Navimumbai, 104 C-Wi",aditya systems limited liability partner,maharashtra thane navimumbai 104 c wing ,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",10.0,B_True_Matched_Retrieval_Failure
S1-368975878,India,True,3,"S2,S3","S2-943586071,S3-810885245,S3-524240423",Patna Trading Pvt Ltd,C/O Digvijay Singh Plot No. 25 S K Nagar,patna trading private limited,c o digvijay singh plot number 25 s k na,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-468150453,US,True,5,"S2,S3","S2-644899402,S3-798303600,S2-352530968,S2-248116950,S2-924356329",J & Q Horse,"City Of Oshkosh, Unit Unit 8, WI, 2115 A",j and q horse,city of oshkosh unit unit 8 wi 2115 abbe,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",90.91,B_True_Matched_Retrieval_Failure
S1-39186243,US,True,1,S3,S3-498713578,Unified Wireless Consultants,"Sour Lake, TX, 114 Woodshire Lane",unified wireless consultants,sour lake tx 114 woodshire lane,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",20.51,B_True_Matched_Retrieval_Failure
S1-114959595,India,True,4,"S2,S3","S2-805951245,S3-427702198,S3-30270808,S2-302146046",Premier Smart Properties Private Limited,"C-201 Mangal Murti, Village:Pethapur, Ga",premier smart properties private limited,c 201 mangal murti village pethapur gand,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",94.74,B_True_Matched_Retrieval_Failure
S1-589014215,US,True,5,"S3,S2","S3-11765089,S3-981207485,S3-520605045,S2-569137049,S2-91660461","Smith Medicine, LLC","NC, 4261 Old Thomasville Road, Winston-s",smith medicine limited liability company,nc 4261 old thomasville road winston sal,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-923282102,US,True,5,"S3,S2","S3-297320348,S2-943771617,S2-497837962,S3-813879193,S2-914579863",Crystal Total Xii LLC,"Saint Paul, MN, 241 Curtice Street",crystal total xii limited liability comp,saint paul mn 241 curtice street,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-643745190,US,True,1,S2,S2-98478081,Gulf Rapid Auto Sales LLC,"MD, 3474 Yellow Bank Road, Dunkirk",gulf rapid auto sales limited liability ,md 3474 yellow bank road dunkirk,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",38.1,B_True_Matched_Retrieval_Failure
S1-221659016,India,False,0,,,Bhopal Nidhi Private Limited,Plot No. 17 Surendra Estate Chunna Bhatt,bhopal nidhi private limited,plot number 17 surendra estate chunna bh,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-260146053,India,True,3,"S3,S2","S3-843266376,S3-771106393,S2-232138013",City Healthcare LLP,"Uttar Pradesh, Kanpur, C/O Janak Singh, ",city healthcare limited liability partne,uttar pradesh kanpur c o janak singh kan,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-362298608,India,True,5,"S2,S3","S2-101924540,S3-119428120,S3-358359515,S3-337946163,S2-769758451",North Blue Exports Limited,"Angul, Gandhi Marg Amalapada, Angul, Ori",north blue exports limited,angul gandhi marg amalapada angul orissa,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",83.72,B_True_Matched_Retrieval_Failure
S1-972705175,US,True,6,"S3,S2","S3-744373124,S3-119048749,S3-284390099,S3-828151890,S3-516987858,S2-944011155",Northern Data Inc,"Cairo, 552 Bald Hills Road, NY",northern data incorporated,cairo 552 bald hills road ny,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-714183085,India,True,3,"S3,S2","S3-603122105,S3-133029252,S2-730751200",Ram Nagar Pvt Ltd,"Flat No - 4, Market Block, Sector-1 R.K.",ram nagar private limited,flat number 4 market block sector 1 r k ,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",90.91,B_True_Matched_Retrieval_Failure
S1-803785804,India,True,7,"S2,S3","S2-258891301,S3-870207218,S3-75632947,S2-928295058,S2-541226859,S3-649627994,S2-806385083",Sky Aditya Ventures Private Limited,"A-87-1/C Sector-02, Noida, Gautam Buddha",sky aditya ventures private limited,a 87 1 c sector 02 noida gautam buddha n,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-196154314,India,True,3,"S3,S2","S3-510815703,S2-760306084,S3-389857780",Ss Baba It Private Limited,"2Floor, Flatno.204, Msalird, George Buil",ss baba it private limited,2floor flatno 204 msalird george build s,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",14.04,B_True_Matched_Retrieval_Failure
S1-876933219,India,False,0,,,Golden Real Power Private Limited,"No.12, Basavanna Temple Street Adugodi, ",golden real power private limited,number 12 basavanna temple street adugod,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-185115475,India,True,5,"S3,S2","S3-515214495,S3-404791210,S2-646674577,S3-705932091,S2-797493539",Store Machines Limited,"Flat No 21 B, 3Rd Floor, Plot No 22 Purs",store machines limited,flat number 21 b 3rd floor plot number 2,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",95.45,B_True_Matched_Retrieval_Failure
S1-245670801,India,True,3,S2,"S2-952978241,S2-204299940,S2-35402577",Blue Shakti Technology Pvt Ltd,"6Th Floor -A-605-A-607 Summit, Tcg3/3, V",blue shakti technology private limited,6th floor a 605 a 607 summit tcg3 3 vibh,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",96.67,B_True_Matched_Retrieval_Failure
S1-178719671,India,True,2,S3,"S3-882515735,S3-576238165",Saint Computer Private Limited,"D.No. 41-1/9-1, 4Th Lane Krishna Lanka, ",saint computer private limited,d number 41 1 9 1 4th lane krishna lanka,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",90.91,B_True_Matched_Retrieval_Failure
S1-585815616,US,False,0,,,Express Keystone Industries Inc,"OR, Salem, 571 Rosemont Avenue",express keystone industries incorporated,or salem 571 rosemont avenue,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-236555162,India,True,3,"S3,S2","S3-196026592,S2-928270884,S3-234829904",Ss Star Foundation Limited,Srv Complex In Front Of Pravara Hospital,ss star foundation limited,srv complex in front of pravara hospital,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",11.32,B_True_Matched_Retrieval_Failure
S1-829263278,India,False,0,,,Seven Business LLP,"Shop No 5 First Floor, White House Marke",seven business limited liability partner,shop number 5 first floor white house ma,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-379047675,India,True,3,"S2,S3","S2-320974288,S3-63858605,S3-60725893",Shree (India) Advertising Private Limite,B/201 Mhasagar Apt Pandit Wadi Virar Eas,shree india advertising private limited,b 201 mhasagar apartment pandit wadi vir,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",94.87,B_True_Matched_Retrieval_Failure
S1-696197922,India,True,2,"S2,S3","S2-906774031,S3-241748094",Square Medical Centre Pune Ltd,"Office No.1, First Floor, Sanskruti Comp",square medical centre pune limited,office number 1 first floor sanskruti co,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",93.75,B_True_Matched_Retrieval_Failure
S1-746246559,US,True,4,"S3,S2","S3-508675996,S2-356189198,S3-318234127,S2-900251197",Moore Union,"MA, Cambridge, Unit 31, 246 Brattle Stre",moore union,ma cambridge unit 31 246 brattle street,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
