s1_id,target_id,target_source,s1_name,target_name,name_fuzz_ratio,name_token_overlap,s1_address,target_address,addr_fuzz_ratio,addr_token_overlap,numeric_overlap,s1_country,target_country,failure_category
S1-39641619,S3-245091850,S3,Global Global Private Limited,ग्लोबल ग्लोबल प्राइवेट लिमिटेड,10.169491525423723,0,"Virar, Maharashtra, Thakur Arcade, Above Viva Super Market, Virar (West), Thane, 28-30","28-30, Palghar, महाराष्ट्र",14.28571428571429,2,2,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-860641883,S2-247002016,S2,Sun Traders Clinic,Shri VANTAGEPYRA,17.647058823529417,0,"S No 7-1, Konark Puram, Bldg-D-4, Pune City, Pune, Maharashtra","S NO 7-1, PUNE, PUNE CITY, महाराष्ट्र",34.34343434343434,6,2,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-239986792,S2-615936168,S2,Krishna Software Pvt Ltd,कृष्ण सॉफ्टवेयर प्रा. लि.,12.244897959183676,0,"A02, Omkar Building Mathura Nagar Taaki Road Nallasopara East, Palghar, Nallasopara, Thane, Maharashtra","A002, THANE, महाराष्ट्र",15.873015873015872,1,0,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-387694500,S3-77197957,S3,Bombay Power Private Limited,Bombay Private Límited Center,73.6842105263158,2,"No: 32/2, 2Nd Floor, Mcc Towers, Opp To Sigma Soft Tech Park, Whitefield Main Road, Ramagon, Danahalli, Bangalore, Karnataka",,0.0,0,0,India,India,Target Address Completely Missing + Typo in Name
S1-623950425,S3-581800682,S3,Dynamic King,Dynamicking.Com,74.07407407407408,0,"4517 Foothills Drive, Halls Crossroads, TN","4517. Foothills Drive, PO Box 4034, Knoxville, Tennessee",57.14285714285714,3,1,US,US,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-858511549,S2-808515212,S2,Swastik Logistics Private Limited,స్వస్తిక్ లాజిస్టిక్స్ ప్రైవేట్ లిమిటెడ్,8.21917808219178,0,"Sy No. 33/1, D No. 2-54/4, Vanasthali Hills, Thattiannaram, Pedamberpet, Hayathnagar, Hyderabad, Telangana","SY NO. D/33/1, HAYATHNAGAR, Andhra Pradesh",32.432432432432435,6,2,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-429137290,S3-662198606,S3,Xenon Products Limited,Xenon Próducts,72.22222222222221,1,"Block A-5, Mianwali Nagar, Paschim Vihar, West Delhi, Delhi, New Delhi, H.No. 10","H.no. 10, New Delhi, West Delhi, दिल्ली",38.65546218487395,6,1,India,India,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-674438455,S3-402663190,S3,Om Foundation Private Limited,ಓಂ ಫೌಂಡೇಶನ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,10.344827586206895,0,"No-34, 3Rd Cross, Dollar Colony Rmv 2Nd Stage, Bangalore, Karnataka","No-34, Bangalore, KA",43.67816091954023,3,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-677741106,S2-148794360,S2,Paul Holdings,Paul,47.05882352941176,1,"C/O- Akhilesh Kr Chauhan Patwatoli, Near Naksha Ghar, Hajipur, Vaishali, Bihar",,0.0,0,0,India,India,Target Address Completely Missing + Typo in Name
S1-99005429,S3-178346615,S3,Aditya Ace Finance Pvt Ltd,ആദിത്യ എയ്സ് ഫിനാൻസ് പ്രൈവറ്റ് ലിമിറ്റഡ്,12.121212121212121,0,"393/18, Anakkuzhy, Nedumangad, Thiruvananthapuram, Trivandrum, Kerala","393/18, Trivandrum, KL",46.15384615384615,3,2,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-648894561,S3-792976560,S3,Supreme Consultants Private Limited,सुप्रीम कंसल्टेंट्स प्राइवेट लिमिटेड,8.450704225352112,0,"236 & 237, The Galleria Dlf, Second Floor, Mayur Vihar Ext-1, Noida Link Road, New Delhi, East Delhi, Delhi","East Delhi, Door No 236 & 237, New Delhi, दिल्ली",34.83870967741935,6,2,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-80960427,S2-114199102,S2,Hari Ram Infrastructure Private Limited,Hari Ram Private Limited Service,67.6056338028169,4,"No.29 Moore Street, Chennai, Tamil Nadu",,0.0,0,0,India,India,Target Address Completely Missing + Typo in Name
S1-720173062,S2-332450198,S2,Maurita's Crystal Wellness Inc,Vantagesol,25.0,0,"20198 Brookview Square, Loudoun County, VA","20197 BROOKVIEW SQ, ASHBURRN CITY, VA",40.50632911392405,2,0,US,US,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-42826659,S3-697310633,S3,Harbor Sterling,Harbor Sgnerlien,83.87096774193549,1,"18795 Homestead Road, Ralph, AL",,0.0,0,0,US,US,Target Address Completely Missing + Typo in Name
S1-461144982,S3-959386191,S3,Vandana International School,Smt Vandana School International - 6818185029,60.273972602739725,3,"Peoplei, D59/365B, Shivpurva, Varanasi, Uttar Pradesh","Plot 604 Peoplei, Varanasi, UP",50.60240963855422,2,0,India,India,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-218948566,S3-666592235,S3,Vision Global Solutions Private Limited,विजन ग्लोबल सॉल्यूशंस प्राइवेट लिमिटेड,10.389610389610393,0,"Pune, Midc, Industrial Estate Bhosari, W51, Pune, Maharashtra","Greater Bombay, MH, W51, Pune",42.22222222222223,2,0,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-536948776,S2-376450162,S2,I+ Corporate Inc.,I+ Coporae Inc.,93.75,2,"718 94, Warwick, NY","718 94, PMB 8827, FLORDA, NY",51.06382978723405,3,2,US,US,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-292649689,S2-581839464,S2,Global Services Private Limited,গ্লোবাল সার্ভিসেস প্রাইভেট লিমিটেড,9.230769230769232,0,"2-Floor, 2/D Panditya Road, Kolkata, Kolkata, Howrah, West Bengal","H.NO 411 2-FLOOR, 2/D PANDITYA ROAD, KOLKATA, CALCUTTA, HOWRAH, পশ্চিমবঙ্গ",31.654676258992808,7,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-916406672,S3-168595840,S3,Gibson Fashion LLC,Gibson LLC Services,54.054054054054056,2,"23326 53rd Avenue, Kent, WA","53rd Ave, Washington, KENT",52.83018867924528,2,0,US,US,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-299370956,S2-82445009,S2,Arihant Construction Limited,అరిహంత్ కన్‌స్ట్రక్షన్ లిమిటెడ్,6.779661016949157,0,"Door No. 50/2, Thokara, Visakhapatnam, Visakhapatnam, Vishakhapatnam, Andhra Pradesh","DOOR NO. 50/2, NULL, VISAKHAPATNAM, VISHAKHAPATNAM, ఆంధ్రప్రదేశ్",25.67567567567568,6,2,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-720206442,S2-738561491,S2,LK Global Mozayyx LLC,LK Global,60.0,2,"403 6th Street, Newport, TN","403 SIXHT ST, BYBEE, TN",48.0,2,1,US,US,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-867508043,S2-648932460,S2,ON Berkley LLC,ON  BEDKLY LLC,57.14285714285714,2,"1708 Patricia Court, Upper Allen Township, PA","PA, MECAHNICSBURG, 1708-1710 PATRICIA COURT",22.72727272727273,4,1,US,US,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-725482440,S2-897894809,S2,Guru International Private Limited,गुरु इंटरनेशनल प्राइवेट लिमिटेड,9.230769230769232,0,"Plot No - D-13/5, 13/6 13/7 Ttc Indl Area Turbhe, Navi Mumbai, Thane, Maharashtra","PLOT 277 PLOT NO - D-13/5, THANE, NAVI MUMBAI, Maharashtra",48.92086330935251,9,2,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-684772333,S2-375054962,S2,Vijay Consultancy Private Limited,विजय कंसल्टेंसी प्राइवेट लिमिटेड,9.230769230769232,0,"Plot No. 813/1, Vikas Cinemall, Situated At G.T. Road, Naveen, Shahdara, Delhi","DOOR NO 813/1, NORTH EAST DELHI, SHAHDARA, Delhi",38.095238095238095,5,2,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-908551239,S2-788299668,S2,Sun Solutions Private Limited,सन सॉल्यूशंस प्राइवेट लिमिटेड,10.344827586206895,0,"F No. 403, Sudha Nill Aptt, New P P Colony, Patliputra, Patna, Bihar","PATNA, F NO. 40, PATNA, Bihar",37.11340206185567,4,0,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-195381333,S2-321392297,S2,Jaipur Systems Pvt Ltd,ARIANEXARIA,0.0,0,"Business Avenue, B-12, S-2 Iind Floor Above Idbi Bank, Govind Marg, Raja Park, Adars, H Nagar, Jaipur, Rajasthan","BUSINESS AVENUE, NEW DELHI, JAIPUR, राजस्थान",17.948717948717952,3,0,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-673367190,S2-533461703,S2,Total Audio Installation Inc,Total Installation Inc Center,77.19298245614034,3,"Proctor, MN, 9330 Skyline Parkway",,0.0,0,0,US,US,Target Address Completely Missing + Typo in Name
S1-56629354,S2-592774385,S2,Classic Engineering Pvt Ltd,క్లాసిక్ ఇంజనీరింగ్ ప్రైవేట్ లిమిటెడ్,9.375,0,"7-2-C-14, Industrial Estate, Sanath Nagar, Balanagar, Hyderabad, Telangana","తెలంగాణ, RANGA REDDY, HYDERABAD, B3/7-2-C-14",15.254237288135597,5,3,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-758075760,S3-449179044,S3,Bharat Investments,Bharat Services Enterprises,57.77777777777777,1,"No 7, 3Rd Floor, N.W.A Club Road Market Sector Iv Market, West Punjabi Bagh, New Delhi, Delhi",,0.0,0,0,India,India,Target Address Completely Missing + Typo in Name
S1-53041046,S2-219647551,S2,Guru Care LLP,गुरु केयर एलएलपी,13.793103448275868,0,"Gali No. 3, Behind City, Mall, Vijay Nagar, Gokalgarh, Rewari, Haryana","GALI NO. 3, null, DIVREPORTINGCIRCLE, Haryana",45.21739130434783,4,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-867508043,S3-713528352,S3,ON Berkley LLC,ON 8erkley L.L.C.,83.87096774193549,1,"1708 Patricia Court, Upper Allen Township, PA","#1708 Patricia Ct, Mechanicsburg, Pennsylvania",57.14285714285714,2,1,US,US,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-462934046,S2-451801050,S2,"Eye Specialists, Inc","Eye Spbcialstf, Inc",87.17948717948718,2,"120 Shutterlee Mill Lane, Augusta County, VA","NULL, VA, STAUNTON, 120-B SHUTTERLEE MILL LANE",22.22222222222222,5,1,US,US,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-997553932,S3-617087258,S3,Regional International LLC,Regional LLC [Service],50.0,2,"407 Clinton Street, Brayton, IA","407-A Clinton Saint, Exira, Iowa",66.66666666666667,2,1,US,US,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-26989708,S2-171688873,S2,Innovative Food Private Limited,इनोवेटिव फूड प्राइवेट लिमिटेड,9.999999999999998,0,"E-57A, Sector-63, Noida, Ghaziabad, Uttar Pradesh","E-A-57A, उत्तर प्रदेश, NOIDA, GHAZIABAD, SECTOR-63",30.303030303030297,6,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-629636563,S3-876209103,S3,Bhavishya Finance Private Limited,Sri Bhavishya Private Limited Center,72.46376811594203,3,"Ewa- 224, Nand Gaon, Kalindipuram, Allahabad, Lucknow, Uttar Pradesh","Ewa- 224, Kaushambi, UP",43.956043956043956,2,1,India,India,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-919196591,S2-203393822,S2,Golden Foundation Private Limited,गोल्डन फाउंडेशन प्राइवेट लिमिटेड,9.230769230769232,0,"202, 2Nd Floor, Plot No. A/15, Jai Krishna Complex, Off Veera Desai Road, Mumbai, Maharashtra","BLOCK E-610 202, BOMBAY, MUMBAI, महाराष्ट्र",16.176470588235293,2,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-199459184,S3-17922063,S3,Best Trading Limited,Best-Traamslng Limited,80.95238095238095,2,"Door No 43/3437, Nh Bypass, Ernakulam, Kerala",,0.0,0,0,India,India,Target Address Completely Missing + Typo in Name
S1-209962563,S3-457599522,S3,Apex Media Private Limited,एपेक्स Media Private Limited,81.4814814814815,3,"304, 3Rd Floor, Plot No. 1 Rg Complex, Rohini Sector-8, New Delhi, North West, Delhi","304, New Delhi, North West, DL",50.877192982456144,5,1,India,India,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-552658307,S3-660932884,S3,Yamuora Agro Pvt. Ltd.,yamuoraagro.com,54.054054054054056,0,"Gr Fl-Fr, Fl-13/ Higu, 13/2 Biren Roy Road(West), Kolkata, Kolkata, Howrah, West Bengal","Gr Fl-fr, Calcutta, Howrah, পশ্চিমবঙ্গ",38.4,4,0,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-430362117,S2-666248544,S2,Dream Consultancy LLP,డ్రీమ్ కన్సల్టెన్సీ ఎల్‌ఎల్‌పీ,7.843137254901967,0,"Flat No.514, A Block, Sai Tirumala Towers, Plot No:85 To 88, Champapet, Saroornagar, Hyderabad, Telangana","Andhra Pradesh, HYDERABAD, SAROORNAGAR, H.NO 514",20.915032679738566,4,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-192763800,S2-57500772,S2,FJ Hill LLC,FJ Hi1l (LLC),83.33333333333334,2,"219 Country Meadow Court, Mansfield, TX",,0.0,0,0,US,US,Target Address Completely Missing + Typo in Name
S1-50821480,S2-265833219,S2,Sr Trexim Private Limited,treximsrprivate.com,54.54545454545454,0,"Shop No. 3 J - 5/33, Rajouri Garden, New Delhi, West Delhi, Delhi","WEST DELHI, SHOP NO. C-3 J - 5/33, Delhi",41.9047619047619,8,3,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-777555607,S3-632142415,S3,Digital Ventures Limited,डिजिटल वेंचर्स लिमिटेड,8.695652173913048,0,"New Delhi, Hari Nagar Extention Baderpur, South Delhi, 12-C, Delhi","12-C, N/A, South Delhi, DL",41.30434782608695,4,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-898630961,S2-484694083,S2,Best Infra Limited,बेस्ट इंफ्रा लिमिटेड,10.526315789473683,0,"Naman Centre, C-31, Bandra Kurla Complex, G-Block, Opp Dena Bank, Mumbai, Maharashtra","NAMAN CENTRE, MUMBAI, Maharashtra",32.20338983050848,4,0,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-752971281,S2-373119092,S2,Physical Therapy Associates Inc,Physical Therapy Associates Enterprises,82.85714285714285,3,"1219 Siniard Drive, Huntsville, AL",,0.0,0,0,US,US,Target Address Completely Missing + Typo in Name
S1-203925563,S2-708565859,S2,Balaji Impex,বালাজি ইম্পেক্স,7.4074074074074066,0,"Kolkata, 3/29/1, Howrah, Bl C, Fl 320H 202, Jessore Road, North 24 Pgs, West Bengal","3/29/1, West Bengal, DUMDUM",34.54545454545455,5,3,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-914958503,S3-243484559,S3,New Ventures Private Limited,New Venteuoes Private Limited,94.73684210526316,3,"No. 46, First Floor, Kirupa Sankari Street, Chennai City Corporation, Chennai, Tamil Nadu","No. 46, Chennai City Corporation, Chennai, தமிழ்நாடு",60.99290780141844,5,1,India,India,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-434802827,S2-12329055,S2,Laborers Union Local No 40,No Union Laborers 40 Services,50.90909090909091,4,"865 Kings Parkway, Hempstead, NY","NY, BALDWIN, 560 KINGS PKWY",20.33898305084746,2,0,US,US,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-595727368,S2-941234052,S2,Heart Council VI,Heart VI Services,48.484848484848484,2,"3496 64th Street, Altoona, IA","3496 64ST STREET, CLAY TWP, IA",54.23728813559322,3,1,US,US,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-153348996,S2-834580086,S2,Ss Business LLP,എസ്എസ് ബിസിനസ് എൽഎൽപി,11.111111111111116,0,"19/58, 19/53, C1 Manjumel, Po, Udyogamandal S O, Parur, Ernakulam, Kerala","19/58, KALAMASSERY, Kerala",36.36363636363637,3,2,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-511010319,S3-556310950,S3,Baba Balaji Investments Private Limited,Baba బాలాజీ Investments Private Limited,84.61538461538461,4,"Third Floor-3A, Plot No -98&99 Lumbini Lay Out, Gachibowli, Serilingamp, Ally, Hyderabad, Telangana","Third Floor-3a/1, Ally, Hyderabad, TG",50.0,5,0,India,India,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-987010400,S2-140661931,S2,Sunrise Consulting Pvt Ltd,सनराइज कंसल्टिंग प्रा. लि.,11.538461538461542,0,"A-3, Shreepal Complex Near Aradhana Cinema, Thane, Maharashtra","A-3, MUMBAI, THANE, महाराष्ट्र",23.913043478260864,3,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-931228719,S2-384356868,S2,Black Consultancy Private Limited,ಬ್ಲ್ಯಾಕ್ ಕನ್ಸಲ್ಟೆನ್ಸಿ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,8.333333333333337,0,"1235, 9Th Main Road Vijaya Nagar, Bengalore, Bangalore, Karnataka","B3/1235, N/A, BANGALORE, BENGALORE, ಕರ್ನಾಟಕ",27.77777777777778,3,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-692127788,S2-435061449,S2,Prime Om Energy Private Limited,प्राइम ओम एनर्जी प्राइवेट लिमिटेड,12.5,0,"B-10, Shivam Apartment, Block-D, Vikaspuri, New Delhi, Delhi","B-10, NEW DELHI, Delhi",39.02439024390244,4,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-391548630,S2-819864481,S2,Tech Ss Infra Private Limited,टेक एसएस इंफ्रा प्राइवेट लिमिटेड,13.11475409836066,0,"Kanpur, Uttar Pradesh, 10 Azad Nagar, 2A/244","2A/244, 10 AZAD NAGAR, KANPUR, उत्तर प्रदेश",25.287356321839084,6,2,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-560567082,S3-634335773,S3,Shree & Brothers Private Limited,Shree Brothers Private Limited Services,84.50704225352112,4,"S/O Savaranna 4-68 Wadepally, Wadepallyvg, Mahbubnagar, Mahabubnagar, Telangana",,0.0,0,0,India,India,Target Address Completely Missing + Typo in Name
S1-725482440,S2-656918430,S2,Guru International Private Limited,गुरु इंटरनेशनल प्राइवेट लिमिटेड,9.230769230769232,0,"Plot No - D-13/5, 13/6 13/7 Ttc Indl Area Turbhe, Navi Mumbai, Thane, Maharashtra","THANE, PLOT 277 PLOT NO - D-13/5, Maharashtra, NAVI MUMBAI",35.97122302158273,9,2,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-20679780,S3-354586828,S3,Red Power LLP,ரெட் பவர் எல்எல்பி,12.903225806451612,0,"No.47, 86Th Street, Kanniappa Nagar Ashok Nagar, Chennai, Tamil Nadu","#47, Chennai, தமிழ்நாடு",28.57142857142857,2,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-908551239,S2-225415982,S2,Sun Solutions Private Limited,सन सॉल्यूशंस प्राइवेट लिमिटेड,10.344827586206895,0,"F No. 403, Sudha Nill Aptt, New P P Colony, Patliputra, Patna, Bihar","F NO. 40, PATNA, Bihar",40.0,4,0,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-630223771,S3-815538600,S3,All International LLP,ऑल इंटरनेशनल एलएलपी,9.999999999999998,0,"Office 105, Flr-1, Sujata Chambers, Abhaychand Gandhi Marg, Mirchi Gully Masjid Stn Man, Dvi, Mumbai, Mumbai City, Maharashtra","Office C-105, Mumbai Ii, MH",30.065359477124186,3,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-610266870,S2-793445903,S2,High Estate Limited,हाई एस्टेट लिमिटेड,10.81081081081081,0,"Pl. No. 11, W.No.54, Radhika Nagar No.1, Near Hanuman Temple, Amravati, Maharashtra","NAGPUR REGION, महाराष्ट्र, AMRAVATI, PL. NO. ##11",19.696969696969703,4,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-630223771,S3-697578371,S3,All International LLP,ऑल इंटरनेशनल एलएलपी,9.999999999999998,0,"Office 105, Flr-1, Sujata Chambers, Abhaychand Gandhi Marg, Mirchi Gully Masjid Stn Man, Dvi, Mumbai, Mumbai City, Maharashtra","Office C-105, Mumbai (SUBURBAN), MH, Mumbai City",40.22988505747126,4,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-889785911,S3-378154027,S3,Surya Om Hospitality Private Limited,సూర్య ఓం హాస్పిటాలిటీ ప్రైవేట్ లిమిటెడ్,10.666666666666668,0,"Flat No 201, Anshu Courtyard, Rangareddy, Telangana","H.no 199, Rangareddy, TG",48.0,2,0,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-134717804,S2-265461500,S2,Guru Hospitality Private Limited,ಗುರು ಹಾಸ್ಪಿಟಾಲಿಟಿ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,8.955223880597018,0,"Karnataka, 7Th Cross, Msr Homes Naggappareddy Layout, B.Narayanapura, Bangaore, Bangalore, H.No 36","#36, BANGAORE, BANGALORE, Karnataka",21.052631578947366,4,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-866587933,S3-608209592,S3,(E) Industries Clinic,@Eindustries,60.60606060606061,0,"Shop No. 2, Baijnath Yadav Compound, Near Om Sai Honda Showroom, W.E. Highway, Jogeshwari, (E), Mumbai, Maharashtra","#2, Mumbai, (E), महाराष्ट्र",19.718309859154925,3,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-628575121,S2-874929043,S2,Balaji Services Private Limited,बालाजी सर्विसेज प्राइवेट लिमिटेड,9.523809523809524,0,"E-704, 7Th Floor, Ajnara Grand Heritage Plot No. Gh 01/B, Sector -74, Noida, Gautam Buddha Nagar, Uttar Pradesh","E-#704, GAUTAM BUDDHA NAGAR, NOIDA, Uttar Pradesh",40.0,8,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-91085118,S2-147057908,S2,Eastern Trading Private Limited,ईस्टर्न ट्रेडिंग प्राइवेट लिमिटेड,9.375,0,"Flat No. 204, Building 47, Sector 54/56/58 Seawood, Thane, Maharashtra","FLAT NO. 04, THANE, Maharashtra",45.54455445544554,4,0,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
