s1_id,entity_type,error_type,num_true_matches,num_pred_matches,top_probability,second_probability,margin,has_address,country
S1-850477310,multi_match,underprediction,2,1,0.9972,0.0521,0.9451,True,US
S1-418027831,single_match,false_negative_miss,1,0,0.0,0.0,0.0,True,US
S1-66728559,multi_match,false_negative_miss,4,0,0.0,0.0,0.0,True,INDIA
S1-926689194,multi_match,underprediction,4,1,0.9995,0.8523,0.1472,True,US
S1-22333051,multi_match,false_negative_miss,3,0,0.0003,0.0003,0.0,True,INDIA
S1-955174948,multi_match,false_negative_miss,5,0,0.0005,0.0002,0.0003,True,US
S1-281580993,singleton,perfect,0,0,0.1868,0.0018,0.185,True,US
S1-905334377,multi_match,underprediction,3,1,0.9992,0.8929,0.1063,True,INDIA
S1-59133310,multi_match,underprediction,5,1,0.8344,0.0456,0.7888,True,US
S1-25342121,multi_match,underprediction,6,1,0.9997,0.0011,0.9986,True,US
S1-841349044,multi_match,underprediction,3,1,0.9999,0.9993,0.0006,True,US
S1-230723127,multi_match,false_negative_miss,2,0,0.0001,0.0001,0.0,True,US
S1-668458321,multi_match,underprediction,6,1,0.9931,0.0005,0.9926,True,US
S1-727310413,multi_match,underprediction,4,1,0.9998,0.9997,0.0001,True,US
S1-73145826,multi_match,underprediction,2,1,0.9987,0.0003,0.9984,True,US
S1-218592011,multi_match,underprediction,4,1,0.999,0.0229,0.9762,True,US
S1-374327796,multi_match,false_negative_miss,3,0,0.0007,0.0002,0.0005,True,US
S1-60478300,multi_match,underprediction,3,1,0.9879,0.0002,0.9877,True,US
S1-485226457,multi_match,underprediction,5,1,0.9999,0.999,0.0008,True,INDIA
S1-172611011,multi_match,underprediction,3,2,0.9995,0.9983,0.0012,True,US
S1-907311930,multi_match,false_negative_miss,4,0,0.0002,0.0001,0.0001,True,US
S1-373231298,multi_match,underprediction,4,2,0.9998,0.9994,0.0003,True,INDIA
S1-784452147,multi_match,underprediction,6,1,0.9996,0.0005,0.9991,True,US
S1-915528790,multi_match,underprediction,5,2,0.9772,0.9361,0.0411,True,INDIA
S1-2028397,multi_match,underprediction,4,1,0.999,0.9218,0.0772,True,US
S1-499260974,singleton,perfect,0,0,0.0605,0.0012,0.0593,True,US
S1-627434726,multi_match,underprediction,5,2,0.9984,0.9944,0.004,True,US
S1-744195090,singleton,perfect,0,0,0.0028,0.0013,0.0015,True,US
S1-868047632,multi_match,underprediction,6,2,0.9997,0.9991,0.0006,True,US
S1-336141306,multi_match,underprediction,7,2,0.9997,0.9953,0.0044,True,INDIA
S1-864861540,multi_match,underprediction,8,1,0.9985,0.5236,0.4749,True,INDIA
S1-959269337,multi_match,underprediction,2,1,0.5236,0.0015,0.5221,True,INDIA
S1-454492480,multi_match,underprediction,5,2,0.9993,0.9428,0.0566,True,INDIA
S1-965689862,singleton,false_positive_merge,0,1,0.7818,0.562,0.2198,True,US
S1-437672283,multi_match,underprediction,4,1,0.999,0.0003,0.9987,True,US
S1-903474667,multi_match,underprediction,4,2,0.9998,0.9992,0.0006,True,US
S1-592734443,multi_match,underprediction,3,1,0.9999,0.8482,0.1517,True,INDIA
S1-301084115,multi_match,underprediction,6,2,0.999,0.9981,0.0009,True,INDIA
S1-556058725,multi_match,underprediction,3,1,0.9996,0.0017,0.9979,True,INDIA
S1-651967538,multi_match,false_negative_miss,6,0,0.0003,0.0002,0.0001,True,US
S1-297640681,multi_match,underprediction,3,1,0.9986,0.9735,0.0251,True,US
S1-568331435,multi_match,false_negative_miss,3,0,0.0002,0.0001,0.0001,True,US
S1-610968939,multi_match,underprediction,5,2,0.9996,0.9996,0.0001,True,INDIA
S1-219173501,multi_match,underprediction,4,2,0.9932,0.9816,0.0116,True,US
S1-415831982,multi_match,underprediction,9,2,0.9997,0.9996,0.0002,True,US
S1-627911251,multi_match,underprediction,4,2,0.9997,0.9996,0.0001,True,US
S1-811405417,multi_match,false_negative_miss,4,0,0.0,0.0,0.0,True,INDIA
S1-479826379,multi_match,underprediction,4,1,0.9989,0.0003,0.9986,True,INDIA
S1-794379874,multi_match,false_negative_miss,2,0,0.0004,0.0003,0.0001,True,US
S1-648623879,multi_match,underprediction,3,2,0.9995,0.998,0.0015,True,US
S1-356252469,multi_match,perfect,2,2,0.9995,0.9981,0.0014,True,INDIA
S1-984525017,multi_match,underprediction,3,2,0.9997,0.9949,0.0048,True,US
S1-254391152,multi_match,perfect,2,2,0.9994,0.9973,0.0021,True,US
S1-889398557,multi_match,underprediction,3,2,0.9998,0.9915,0.0083,True,US
S1-777581640,multi_match,underprediction,6,1,0.9997,0.9864,0.0133,True,US
S1-970584872,multi_match,underprediction,4,1,0.9995,0.064,0.9355,True,INDIA
S1-455110032,singleton,perfect,0,0,0.0001,0.0001,0.0,True,US
S1-911513523,multi_match,false_negative_miss,2,0,0.367,0.0149,0.3521,True,US
S1-467993241,multi_match,underprediction,3,1,0.9999,0.4896,0.5103,True,US
S1-105167846,multi_match,underprediction,3,1,0.9998,0.9927,0.0072,True,US
S1-337617824,multi_match,underprediction,6,2,0.9983,0.9365,0.0618,True,US
S1-89654562,multi_match,underprediction,2,1,0.9939,0.9883,0.0056,True,INDIA
S1-829713706,multi_match,underprediction,6,1,0.998,0.1328,0.8651,True,US
S1-194201281,multi_match,perfect,2,2,0.9998,0.9992,0.0006,True,US
S1-848867986,multi_match,underprediction,2,1,0.9381,0.4035,0.5346,True,INDIA
S1-384914020,multi_match,underprediction,4,2,0.9998,0.9993,0.0004,True,US
S1-811473658,multi_match,false_negative_miss,4,0,0.0132,0.0005,0.0127,True,INDIA
S1-328031515,multi_match,underprediction,4,2,0.9971,0.9962,0.0009,True,INDIA
S1-517987412,singleton,perfect,0,0,0.4563,0.292,0.1643,True,US
S1-447859274,multi_match,underprediction,5,1,0.5087,0.2996,0.2092,True,INDIA
S1-176795264,multi_match,false_negative_miss,4,0,0.0001,0.0001,0.0,True,INDIA
S1-345352443,single_match,false_negative_miss,1,0,0.0001,0.0001,0.0,True,US
S1-391618715,multi_match,perfect,2,2,0.9963,0.977,0.0193,True,INDIA
S1-670185199,multi_match,underprediction,4,1,0.9995,0.0002,0.9993,True,US
S1-576146378,multi_match,mixed,2,2,0.9998,0.9335,0.0663,True,INDIA
S1-553322306,multi_match,false_negative_miss,5,0,0.0,0.0,0.0,True,INDIA
S1-103120890,multi_match,underprediction,2,1,0.999,0.8788,0.1202,True,US
S1-20718716,multi_match,underprediction,7,2,0.9998,0.9995,0.0004,True,INDIA
S1-283565234,multi_match,underprediction,4,1,0.9986,0.9097,0.0889,True,INDIA
S1-422745335,multi_match,underprediction,3,1,0.9995,0.003,0.9965,True,INDIA
S1-842883530,multi_match,underprediction,5,2,0.9999,0.9967,0.0031,True,US
S1-326211583,multi_match,underprediction,5,1,0.9993,0.9988,0.0004,True,INDIA
S1-912456795,single_match,false_negative_miss,1,0,0.0632,0.0255,0.0377,True,INDIA
S1-926685086,singleton,perfect,0,0,0.0252,0.0008,0.0244,True,US
S1-730552117,multi_match,underprediction,3,1,0.9995,0.9137,0.0858,True,INDIA
S1-332420636,multi_match,underprediction,2,1,0.9991,0.0244,0.9747,True,US
S1-60805742,multi_match,underprediction,9,2,0.9998,0.9998,0.0,True,US
S1-153906543,multi_match,underprediction,4,2,0.9998,0.9979,0.0019,True,US
S1-512855141,singleton,perfect,0,0,0.0027,0.0004,0.0023,True,INDIA
S1-487008657,multi_match,underprediction,5,1,0.9996,0.9965,0.0031,True,US
S1-938626847,multi_match,false_negative_miss,3,0,0.0001,0.0001,0.0,True,US
S1-347353145,multi_match,false_negative_miss,2,0,0.3702,0.3338,0.0364,True,US
S1-341989569,multi_match,false_negative_miss,3,0,0.0,0.0,0.0,True,INDIA
S1-905651043,multi_match,perfect,2,2,0.9996,0.9937,0.0059,True,US
S1-439772765,multi_match,underprediction,6,1,0.9998,0.9997,0.0001,True,US
S1-833531595,multi_match,underprediction,7,1,0.9968,0.0002,0.9965,True,US
S1-655117543,multi_match,underprediction,4,1,0.9998,0.7343,0.2656,True,INDIA
S1-844991152,multi_match,underprediction,3,2,0.999,0.9941,0.0049,True,US
S1-501142388,multi_match,underprediction,3,1,0.9978,0.0009,0.997,True,US
S1-619052599,multi_match,underprediction,6,1,0.9997,0.9996,0.0001,True,US
S1-305538723,multi_match,false_negative_miss,4,0,0.35,0.0002,0.3498,True,US
S1-725337116,single_match,perfect,1,1,0.9991,0.3107,0.6883,True,US
S1-605848526,multi_match,underprediction,6,1,0.9996,0.031,0.9686,True,US
S1-584515291,multi_match,underprediction,3,2,0.9987,0.9973,0.0014,True,US
S1-101542503,multi_match,underprediction,3,1,0.9994,0.0044,0.995,True,US
S1-456695015,multi_match,underprediction,5,1,0.9987,0.0005,0.9982,True,US
S1-808793526,multi_match,underprediction,3,1,0.9996,0.0116,0.988,True,INDIA
S1-328081997,multi_match,underprediction,3,2,0.9996,0.9969,0.0026,True,US
S1-396111679,multi_match,underprediction,6,2,0.9988,0.8448,0.154,True,INDIA
S1-925986564,single_match,perfect,1,1,0.9921,0.0112,0.9809,True,US
S1-874920625,multi_match,underprediction,2,1,0.9995,0.9989,0.0005,True,US
S1-146442036,multi_match,underprediction,4,1,0.9492,0.0041,0.9451,True,US
S1-592304850,multi_match,underprediction,4,2,0.9997,0.9993,0.0003,True,INDIA
S1-220956352,multi_match,underprediction,8,1,0.9998,0.9998,0.0,True,US
S1-446680111,multi_match,underprediction,5,1,0.9991,0.9932,0.0059,True,US
S1-218402276,multi_match,underprediction,5,1,0.9995,0.9993,0.0003,True,US
S1-70562468,multi_match,false_negative_miss,2,0,0.0008,0.0003,0.0005,True,INDIA
S1-677306921,multi_match,underprediction,2,1,0.997,0.0004,0.9966,True,INDIA
S1-644940545,singleton,perfect,0,0,0.0169,0.0009,0.0161,True,US
S1-400192936,multi_match,false_negative_miss,2,0,0.4413,0.0005,0.4408,True,US
S1-300090628,multi_match,underprediction,3,1,0.9994,0.9973,0.0021,True,US
S1-948268980,multi_match,underprediction,4,1,0.9188,0.0,0.9188,True,INDIA
S1-353880717,single_match,perfect,1,1,0.9998,0.0005,0.9993,True,US
S1-831389333,multi_match,false_negative_miss,3,0,0.0003,0.0002,0.0001,True,INDIA
S1-600329719,multi_match,underprediction,5,2,0.9994,0.9992,0.0002,True,INDIA
S1-193946538,multi_match,underprediction,2,1,0.9988,0.0008,0.9979,True,US
S1-53875005,multi_match,underprediction,5,1,0.9996,0.9993,0.0004,True,US
S1-31345824,multi_match,underprediction,4,2,0.9982,0.9114,0.0868,True,US
S1-840028510,multi_match,underprediction,3,1,0.9998,0.3518,0.648,True,INDIA
S1-123016895,multi_match,false_negative_miss,2,0,0.2786,0.0005,0.2781,True,INDIA
S1-605609570,singleton,perfect,0,0,0.009,0.0003,0.0087,True,US
S1-312833866,multi_match,false_negative_miss,3,0,0.0039,0.0024,0.0015,True,INDIA
S1-568832005,singleton,perfect,0,0,0.0006,0.0006,0.0,True,US
S1-882082564,multi_match,false_negative_miss,3,0,0.0001,0.0001,0.0,True,US
S1-84600098,multi_match,underprediction,3,2,0.9999,0.9994,0.0005,True,US
S1-420625497,multi_match,underprediction,5,2,0.9998,0.9943,0.0055,True,US
S1-475468492,multi_match,underprediction,4,1,0.9992,0.0004,0.9988,True,US
S1-221340322,multi_match,false_negative_miss,4,0,0.0,0.0,0.0,True,INDIA
S1-427097734,multi_match,underprediction,4,1,0.9998,0.4872,0.5126,True,INDIA
S1-34483456,multi_match,underprediction,6,1,0.9999,0.9998,0.0001,True,US
S1-82613596,multi_match,underprediction,4,1,0.9993,0.8385,0.1609,True,INDIA
S1-351567210,multi_match,underprediction,5,1,0.9997,0.0,0.9996,True,INDIA
S1-249048291,single_match,perfect,1,1,0.9982,0.0131,0.9851,True,US
S1-927232286,single_match,false_negative_miss,1,0,0.0002,0.0002,0.0001,True,US
S1-74801676,multi_match,underprediction,3,2,0.9975,0.9905,0.007,True,INDIA
S1-218653736,multi_match,underprediction,2,1,0.9983,0.0002,0.9981,True,INDIA
S1-196080802,multi_match,underprediction,4,1,0.9775,0.0004,0.9771,True,INDIA
S1-315154609,multi_match,underprediction,4,2,0.9998,0.9997,0.0001,True,US
S1-658786038,multi_match,false_negative_miss,3,0,0.0003,0.0001,0.0002,True,US
S1-449492581,single_match,false_negative_miss,1,0,0.0123,0.0002,0.0121,True,INDIA
S1-118784559,multi_match,underprediction,6,2,0.9998,0.9996,0.0002,True,US
S1-67835862,multi_match,underprediction,2,1,0.6183,0.0003,0.6179,True,US
S1-33780513,multi_match,false_negative_miss,5,0,0.0002,0.0002,0.0001,True,INDIA
S1-640844618,multi_match,perfect,2,2,0.9995,0.9987,0.0009,True,US
S1-252296391,multi_match,false_negative_miss,2,0,0.0149,0.0002,0.0147,True,US
S1-139015544,multi_match,underprediction,2,1,0.9992,0.3702,0.6291,True,US
S1-123725618,multi_match,underprediction,2,1,0.9999,0.0008,0.9991,True,US
S1-6630161,multi_match,false_negative_miss,4,0,0.0003,0.0003,0.0,True,US
S1-382914237,multi_match,underprediction,4,1,0.9997,0.7851,0.2146,True,INDIA
S1-231175042,multi_match,underprediction,3,1,0.7375,0.3702,0.3673,True,US
S1-896900986,multi_match,false_negative_miss,5,0,0.0002,0.0001,0.0,True,INDIA
S1-142356992,multi_match,underprediction,4,1,0.9998,0.0004,0.9994,True,US
S1-755025520,multi_match,false_negative_miss,5,0,0.0,0.0,0.0,True,US
S1-467927299,multi_match,underprediction,5,1,0.9994,0.4568,0.5427,True,INDIA
S1-228077885,multi_match,underprediction,4,1,0.9991,0.0002,0.999,True,US
S1-554846704,multi_match,underprediction,4,1,0.9976,0.0207,0.9769,True,US
S1-896775160,multi_match,false_negative_miss,2,0,0.0001,0.0001,0.0,True,US
S1-764823388,multi_match,underprediction,3,1,0.6458,0.0079,0.6379,True,US
S1-769434350,multi_match,false_negative_miss,3,0,0.3982,0.0061,0.3921,True,US
S1-779427362,multi_match,underprediction,3,1,0.9983,0.9934,0.0048,True,US
S1-847311187,multi_match,underprediction,5,1,0.9998,0.002,0.9978,True,INDIA
S1-582657636,multi_match,underprediction,2,1,0.9998,0.9998,0.0,True,US
S1-206772486,multi_match,underprediction,2,1,0.9897,0.2361,0.7536,True,US
S1-30408130,multi_match,underprediction,6,2,0.9998,0.9994,0.0004,True,INDIA
S1-712983583,multi_match,underprediction,2,1,0.9907,0.6401,0.3507,True,US
S1-145390487,singleton,perfect,0,0,0.0023,0.0003,0.0021,True,INDIA
S1-664017983,multi_match,false_negative_miss,3,0,0.0125,0.0048,0.0077,True,INDIA
S1-350111532,multi_match,false_negative_miss,5,0,0.0001,0.0,0.0001,True,INDIA
S1-852976941,multi_match,false_negative_miss,2,0,0.4126,0.002,0.4106,True,INDIA
S1-191916852,multi_match,underprediction,5,2,0.9992,0.9969,0.0023,True,INDIA
S1-86550604,multi_match,underprediction,4,1,0.9997,0.0002,0.9996,True,US
S1-604708545,multi_match,false_negative_miss,5,0,0.001,0.0008,0.0002,True,INDIA
S1-466446213,singleton,perfect,0,0,0.2712,0.0003,0.2709,True,INDIA
S1-741337024,multi_match,false_negative_miss,2,0,0.0037,0.0007,0.003,True,INDIA
S1-509667002,multi_match,underprediction,3,2,0.9999,0.8927,0.1071,True,INDIA
S1-611884006,multi_match,perfect,2,2,0.9938,0.921,0.0728,True,INDIA
S1-276515660,single_match,mixed,1,1,0.5236,0.0003,0.5232,True,INDIA
S1-331072994,single_match,false_negative_miss,1,0,0.0,0.0,0.0,True,INDIA
S1-96653693,multi_match,false_negative_miss,2,0,0.0003,0.0003,0.0,True,US
S1-486073707,multi_match,underprediction,2,1,0.9998,0.9951,0.0047,True,US
S1-774226615,multi_match,false_negative_miss,2,0,0.0034,0.0014,0.002,True,US
S1-738533497,multi_match,underprediction,3,1,0.9873,0.1931,0.7942,True,INDIA
S1-110326226,multi_match,underprediction,4,1,0.9989,0.3856,0.6132,True,US
S1-34325482,multi_match,underprediction,4,1,0.999,0.9981,0.0008,True,US
S1-98897862,multi_match,underprediction,6,2,0.9999,0.9983,0.0016,True,INDIA
S1-806166304,multi_match,false_negative_miss,4,0,0.0003,0.0003,0.0,True,INDIA
S1-832316865,multi_match,false_negative_miss,4,0,0.0,0.0,0.0,True,INDIA
S1-190691873,multi_match,underprediction,4,2,0.9999,0.9999,0.0,True,US
S1-838860671,multi_match,underprediction,5,1,0.9835,0.0004,0.9832,True,INDIA
S1-77028914,multi_match,underprediction,3,1,0.9997,0.0537,0.9459,True,INDIA
S1-628303916,multi_match,underprediction,5,2,0.9998,0.9981,0.0017,True,INDIA
S1-813211635,multi_match,underprediction,6,1,0.9772,0.0182,0.959,True,INDIA
S1-443551213,multi_match,underprediction,4,1,0.9998,0.0064,0.9934,True,US
S1-998933249,multi_match,underprediction,4,2,0.9997,0.9992,0.0004,True,INDIA
S1-655260849,multi_match,underprediction,4,2,0.9997,0.9988,0.0009,True,INDIA
S1-570561490,multi_match,underprediction,5,1,0.9997,0.0,0.9997,True,INDIA
S1-466439460,multi_match,false_negative_miss,4,0,0.361,0.0018,0.3592,True,INDIA
S1-856292693,multi_match,underprediction,3,2,0.9997,0.9947,0.005,True,US
S1-740922778,multi_match,underprediction,3,1,0.9976,0.9906,0.0069,True,INDIA
S1-786904155,multi_match,underprediction,3,2,0.9998,0.9994,0.0004,True,INDIA
S1-798663596,multi_match,underprediction,4,1,0.8661,0.0011,0.865,True,INDIA
S1-317248687,multi_match,underprediction,3,2,0.9998,0.9997,0.0001,True,US
S1-258470741,multi_match,false_negative_miss,3,0,0.3792,0.0284,0.3508,True,INDIA
S1-669231377,multi_match,underprediction,2,1,0.9743,0.0012,0.9731,True,INDIA
S1-331874020,multi_match,underprediction,4,2,0.9997,0.9991,0.0007,True,INDIA
S1-798038464,singleton,perfect,0,0,0.0002,0.0002,0.0,True,US
S1-240837445,multi_match,false_negative_miss,2,0,0.0012,0.0005,0.0007,True,INDIA
S1-672915118,multi_match,underprediction,3,1,0.9896,0.0006,0.989,True,US
S1-892031595,singleton,false_positive_merge,0,1,0.5507,0.321,0.2297,True,US
S1-827358418,multi_match,underprediction,2,1,0.9995,0.0017,0.9978,True,INDIA
S1-136680408,multi_match,underprediction,4,1,0.9996,0.0024,0.9972,True,US
S1-938417691,multi_match,false_negative_miss,4,0,0.0003,0.0,0.0003,True,INDIA
S1-291574694,multi_match,underprediction,3,2,0.991,0.9492,0.0418,True,INDIA
S1-305087293,multi_match,false_negative_miss,3,0,0.0001,0.0001,0.0,True,INDIA
S1-588205795,multi_match,underprediction,3,1,0.996,0.3984,0.5977,True,US
S1-974529407,multi_match,underprediction,4,1,0.9996,0.0121,0.9876,True,INDIA
S1-189652463,multi_match,underprediction,5,1,0.9979,0.9935,0.0045,True,US
S1-916667296,multi_match,false_negative_miss,3,0,0.001,0.0005,0.0005,True,INDIA
S1-698264772,single_match,false_negative_miss,1,0,0.0003,0.0002,0.0,True,INDIA
S1-354186544,multi_match,underprediction,4,1,0.9968,0.0002,0.9966,True,US
S1-863311543,multi_match,false_negative_miss,3,0,0.0031,0.0003,0.0028,True,US
S1-203599299,multi_match,underprediction,4,2,0.9998,0.9988,0.001,True,US
S1-733899156,multi_match,false_negative_miss,2,0,0.3856,0.0005,0.3851,True,US
S1-841002981,multi_match,underprediction,4,1,0.9997,0.0003,0.9995,True,US
S1-919550341,multi_match,false_negative_miss,2,0,0.3702,0.0004,0.3698,True,US
S1-450511239,multi_match,underprediction,5,2,0.9998,0.9998,0.0,True,US
S1-114726966,singleton,perfect,0,0,0.2361,0.0012,0.2349,True,US
S1-156417491,multi_match,false_negative_miss,3,0,0.2948,0.0019,0.2929,True,INDIA
S1-172303478,single_match,false_negative_miss,1,0,0.0003,0.0003,0.0001,True,INDIA
S1-655220390,multi_match,underprediction,3,2,0.9995,0.997,0.0025,True,US
S1-180150,multi_match,underprediction,3,2,0.9996,0.9994,0.0002,True,US
S1-956829106,multi_match,underprediction,3,1,0.9992,0.0016,0.9975,True,US
S1-410251977,multi_match,underprediction,5,1,0.9999,0.0003,0.9996,True,US
S1-496308196,multi_match,underprediction,6,1,0.9997,0.0,0.9997,True,INDIA
S1-964101191,multi_match,underprediction,4,2,0.9997,0.9992,0.0005,True,INDIA
S1-631706579,multi_match,underprediction,4,2,0.999,0.9989,0.0001,True,US
S1-976193816,multi_match,underprediction,3,1,0.9993,0.9993,0.0001,True,US
S1-679107327,multi_match,underprediction,3,2,0.9987,0.9817,0.017,True,US
S1-540016964,multi_match,underprediction,3,1,0.9958,0.9941,0.0017,True,INDIA
S1-578675078,multi_match,false_negative_miss,2,0,0.0007,0.0004,0.0003,True,INDIA
S1-498973312,multi_match,false_negative_miss,2,0,0.0009,0.0008,0.0001,True,INDIA
S1-641113085,multi_match,underprediction,3,2,0.9994,0.9962,0.0032,True,INDIA
S1-589369386,multi_match,underprediction,4,1,0.9784,0.0021,0.9763,True,INDIA
S1-81723866,multi_match,underprediction,3,1,0.9998,0.0007,0.9991,True,US
S1-531373334,multi_match,underprediction,4,1,0.9962,0.9452,0.051,True,INDIA
S1-974876454,multi_match,mixed,2,2,0.9673,0.9077,0.0596,True,US
S1-416988290,multi_match,underprediction,5,1,0.9999,0.0006,0.9993,True,US
S1-836109700,multi_match,false_negative_miss,2,0,0.0098,0.0003,0.0096,True,US
S1-855763136,multi_match,underprediction,4,1,0.9998,0.0023,0.9975,True,US
S1-326241727,multi_match,false_negative_miss,4,0,0.0017,0.0002,0.0015,True,US
S1-131573675,singleton,perfect,0,0,0.0002,0.0001,0.0001,True,US
S1-492800272,multi_match,underprediction,4,2,0.992,0.9901,0.0018,True,US
S1-509276776,single_match,perfect,1,1,0.9992,0.0005,0.9987,True,US
S1-189778694,multi_match,underprediction,5,2,0.9998,0.9979,0.0019,True,US
S1-151895599,multi_match,underprediction,5,2,0.9998,0.9998,0.0,True,INDIA
S1-576095475,multi_match,underprediction,4,1,0.9996,0.9584,0.0412,True,US
S1-84218268,multi_match,underprediction,4,1,0.9988,0.0267,0.9721,True,INDIA
S1-586110539,singleton,perfect,0,0,0.0002,0.0001,0.0,True,US
S1-458547728,multi_match,underprediction,5,1,0.823,0.0,0.823,True,INDIA
S1-784894831,multi_match,underprediction,3,1,0.9984,0.0002,0.9982,True,US
