s1_id,true_id,source,current_status,name_tfidf,address_tfidf,char_ngram,token_retrieval,numeric,multiscript,rescued_by,reason_if_still_missed
S1-558942327,S3-53802324,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-353313556,S3-756234527,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-227128708,S2-581007635,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-761471261,S3-697884579,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-622374625,S3-423637769,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-562175922,S2-588934951,S2,HIT,1,0,1,0,0,0,name_tfidf,
S1-57549624,S3-582701728,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-367148113,S3-297111333,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-14447328,S3-53063549,S3,HIT,1,1,1,1,0,0,already_hit,
S1-362378520,S3-731930457,S3,HIT,1,1,1,0,0,0,already_hit,
S1-627864371,S3-910484734,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-681392030,S2-501358496,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-402660930,S3-996347690,S3,HIT,1,1,1,1,0,0,already_hit,
S1-348673679,S2-633400689,S2,HIT,1,0,1,0,0,0,name_tfidf,
S1-262390745,S3-444630635,S3,HIT,1,1,1,0,0,0,already_hit,
S1-99005429,S3-284724331,S3,HIT,1,0,1,0,0,0,name_tfidf,
S1-481435511,S2-61235743,S2,HIT,1,1,1,1,0,0,already_hit,
S1-827516507,S3-454582978,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-446787657,S3-644702510,S3,HIT,1,1,1,1,0,0,already_hit,
S1-905507550,S3-649309861,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-596007326,S2-947816102,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-960834585,S2-619239240,S2,HIT,1,1,1,1,0,0,already_hit,
S1-862191137,S2-29354614,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-410701476,S2-659686073,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-606480359,S3-23000002,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-961941107,S3-741609063,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-602775749,S3-174000230,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-412692042,S2-886351099,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-721837602,S2-747783514,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-685873514,S2-721972184,S2,HIT,1,1,1,0,0,0,already_hit,
S1-753495835,S3-19769432,S3,HIT,1,1,1,0,0,0,already_hit,
S1-4159617,S2-481689812,S2,HIT,1,1,1,0,0,0,already_hit,
S1-639708214,S2-757495858,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-766372261,S3-477410284,S3,HIT,1,1,1,1,0,0,already_hit,
S1-131053132,S2-875005751,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-193379835,S2-24158073,S2,HIT,1,1,1,1,0,0,already_hit,
S1-177380392,S2-247659101,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-183760590,S3-489913494,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-4869416,S3-271046912,S3,HIT,1,1,1,1,0,0,already_hit,
S1-178384024,S3-179802792,S3,HIT,1,1,1,0,0,0,already_hit,
S1-774387323,S2-122143038,S2,HIT,0,1,0,1,0,0,already_hit,
S1-410701476,S3-374691234,S3,HIT,1,1,1,0,0,0,already_hit,
S1-859043162,S3-819753051,S3,HIT,1,1,1,0,0,0,already_hit,
S1-18341117,S3-58650311,S3,HIT,1,1,1,0,0,0,already_hit,
S1-686668008,S2-389258008,S2,HIT,1,1,1,1,0,0,already_hit,
S1-696636634,S3-127529822,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-698189395,S3-2730763,S3,HIT,1,1,1,0,0,0,already_hit,
S1-876651852,S3-822415982,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-95503899,S3-339095779,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-200376709,S2-846017335,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-263383485,S3-421456395,S3,HIT,1,1,1,0,0,0,already_hit,
S1-968800875,S3-10358273,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-262405622,S3-781751481,S3,HIT,1,1,1,1,0,0,already_hit,
S1-629417405,S2-522538408,S2,HIT,1,1,1,0,0,0,already_hit,
S1-145733157,S3-503843220,S3,HIT,1,1,1,0,0,0,already_hit,
S1-705961596,S3-762367919,S3,HIT,1,1,1,0,1,0,already_hit,
S1-909842346,S3-575390278,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-620689609,S3-247084033,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-439680514,S2-757585640,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-755898212,S2-119648153,S2,HIT,1,1,1,1,0,0,already_hit,
S1-932260031,S2-20624201,S2,HIT,1,1,1,1,1,0,already_hit,
S1-425011135,S2-732988339,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-524297749,S3-474576098,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-520467098,S3-436039921,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-807527947,S3-643377418,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-298826786,S3-53157301,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-811793890,S3-203735948,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-821099846,S3-701453149,S3,HIT,1,1,1,1,0,0,already_hit,
S1-150829563,S3-871179559,S3,HIT,1,1,1,0,0,0,already_hit,
S1-75897373,S2-42889628,S2,HIT,0,1,0,0,0,0,already_hit,
S1-737635669,S2-766796658,S2,HIT,1,1,1,1,0,0,already_hit,
S1-360871186,S2-649441536,S2,HIT,1,0,1,0,0,0,already_hit,
S1-350245409,S2-514557420,S2,HIT,1,1,1,0,0,0,already_hit,
S1-458605878,S2-14108395,S2,HIT,1,1,1,0,0,0,already_hit,
S1-951376783,S2-106730426,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-426712787,S2-18704540,S2,HIT,1,1,1,1,0,0,already_hit,
S1-494967235,S3-289595352,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-804737474,S3-976233791,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-277391322,S3-239190892,S3,HIT,1,1,1,0,1,0,already_hit,
S1-854288036,S2-877286129,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-14825773,S2-824264964,S2,HIT,1,1,1,0,0,0,already_hit,
S1-977704542,S3-386715527,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-438589761,S2-877110659,S2,HIT,1,1,1,1,1,0,already_hit,
S1-434711227,S3-41605712,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-421901356,S3-127502418,S3,HIT,1,1,1,0,0,0,already_hit,
S1-485950384,S2-796442727,S2,HIT,1,0,1,0,0,0,name_tfidf,
S1-515624637,S2-101856140,S2,HIT,1,1,1,0,0,0,already_hit,
S1-379512171,S3-377742079,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-302623297,S2-268115561,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-414487608,S2-77817106,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-451255492,S3-948271076,S3,HIT,1,1,1,0,0,0,already_hit,
S1-213301344,S3-900923537,S3,HIT,1,1,1,0,0,0,already_hit,
S1-462627347,S3-566846894,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-949279814,S2-109268847,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-970805269,S3-516564141,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-711808948,S2-332488681,S2,HIT,1,1,1,1,0,0,already_hit,
S1-681392030,S3-476447318,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-507894970,S3-897380517,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-82591612,S2-241114472,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-568122370,S2-124668459,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-69670668,S3-601822187,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-216986373,S2-552551626,S2,HIT,1,1,1,0,0,0,already_hit,
S1-361650761,S3-58463637,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-78424718,S3-47905633,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-629036279,S3-186040862,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-556204321,S3-187193076,S3,HIT,1,1,1,0,0,0,already_hit,
S1-2106291,S3-195645900,S3,HIT,0,1,0,0,0,0,already_hit,
S1-871383897,S2-788222380,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-977929015,S3-457961182,S3,HIT,1,1,1,0,1,0,already_hit,
S1-19593330,S3-786023108,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-636549603,S2-111347047,S2,HIT,0,1,0,0,0,0,already_hit,
S1-448808180,S3-137751821,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-797931932,S2-300941826,S2,HIT,1,1,1,0,0,0,already_hit,
S1-20091251,S2-965956811,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-268426904,S3-767449161,S3,HIT,1,1,1,0,0,0,already_hit,
S1-307708702,S2-202758828,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-324847870,S2-963498407,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-419129929,S3-801452060,S3,HIT,1,1,1,0,0,0,already_hit,
S1-36683808,S2-162608140,S2,HIT,1,1,1,1,0,0,already_hit,
S1-336067611,S2-503833769,S2,HIT,1,1,1,1,1,0,already_hit,
S1-629417405,S3-613837325,S3,HIT,1,1,1,0,0,0,already_hit,
S1-908259334,S2-267626167,S2,HIT,1,1,1,0,0,0,already_hit,
S1-693154681,S3-127642558,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-210783960,S2-969052715,S2,HIT,1,1,1,0,0,0,already_hit,
S1-301534349,S2-674742515,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-396448962,S3-630014673,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-861696207,S3-203929035,S3,HIT,1,1,1,1,0,0,already_hit,
S1-339696594,S2-716037901,S2,HIT,1,1,1,1,0,0,already_hit,
S1-571214733,S3-870487302,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-921815569,S3-124408246,S3,HIT,1,1,1,0,0,0,already_hit,
S1-552065633,S3-519075461,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-507301758,S2-446773762,S2,HIT,1,1,1,0,0,0,already_hit,
S1-989203377,S3-371945342,S3,HIT,1,1,1,0,0,0,already_hit,
S1-310017139,S3-846201100,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-870635515,S3-856682123,S3,HIT,1,1,1,0,0,0,already_hit,
S1-738271924,S3-68579581,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-281051556,S2-717396610,S2,HIT,1,1,1,1,0,0,already_hit,
S1-622874768,S3-105672058,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-312194988,S3-560455091,S3,HIT,1,1,1,1,0,0,already_hit,
S1-546089988,S2-497447317,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-931374745,S2-687709520,S2,HIT,1,1,1,0,0,0,already_hit,
S1-515099037,S2-658267471,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-380561654,S2-269803942,S2,HIT,1,1,1,0,0,0,already_hit,
S1-849045331,S2-785273381,S2,HIT,1,1,1,0,0,0,already_hit,
S1-866344609,S2-281706095,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-855700872,S2-493607202,S2,HIT,1,0,1,1,0,0,already_hit,
S1-244890000,S3-386429826,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-866832780,S2-463853208,S2,HIT,1,1,1,1,0,0,already_hit,
S1-562175922,S2-655888174,S2,HIT,1,1,1,1,1,0,already_hit,
S1-485052187,S3-57606177,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-444711104,S2-421084917,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-970488686,S2-61033548,S2,HIT,1,1,1,1,0,0,already_hit,
S1-797361235,S3-669597075,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-713070619,S2-633717986,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-972508292,S3-558117656,S3,HIT,1,0,1,0,0,0,already_hit,
S1-549612411,S2-796253463,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-520078089,S2-298481867,S2,HIT,1,1,1,1,0,0,already_hit,
S1-367817606,S2-49025433,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-125331877,S2-20329354,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-527408099,S2-25729373,S2,HIT,1,1,1,1,0,0,already_hit,
S1-558634684,S2-536166686,S2,MISSED,0,0,0,0,0,0,none,extreme_distortion_or_disjoint_tokens
S1-691291923,S2-511248336,S2,HIT,1,1,1,1,0,0,already_hit,
S1-222806068,S3-182962419,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-761888543,S2-777211775,S2,HIT,0,1,0,1,0,0,already_hit,
S1-303791674,S3-226380385,S3,HIT,1,1,1,1,0,0,already_hit,
S1-143410687,S2-585945975,S2,HIT,1,1,1,0,0,0,already_hit,
S1-539879230,S3-127246506,S3,HIT,1,1,1,0,0,0,already_hit,
S1-629118510,S2-724281351,S2,HIT,1,1,1,0,0,0,already_hit,
S1-262792319,S2-171379072,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-560848017,S2-756963581,S2,HIT,1,1,1,0,0,0,already_hit,
S1-866514162,S3-236431792,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-908551239,S3-719062371,S3,MISSED,0,0,0,0,0,0,none,extreme_distortion_or_disjoint_tokens
S1-300521665,S3-788776740,S3,HIT,1,1,1,1,0,0,already_hit,
S1-400760786,S3-652768673,S3,HIT,1,0,1,0,0,0,already_hit,
S1-669609886,S2-896970387,S2,HIT,1,1,1,0,0,0,already_hit,
S1-340955071,S2-49790369,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-857022301,S3-285329878,S3,HIT,1,1,1,0,0,0,already_hit,
S1-866481061,S2-531279398,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-774836812,S2-247393277,S2,HIT,1,1,1,1,0,0,already_hit,
S1-107913416,S3-816737520,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-912858680,S3-258070904,S3,HIT,1,1,1,0,0,0,already_hit,
S1-508273585,S3-876011377,S3,HIT,1,1,1,0,0,0,already_hit,
S1-553542139,S2-107512783,S2,HIT,1,1,1,1,0,0,already_hit,
S1-713070619,S2-769349257,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-44868915,S3-30385038,S3,HIT,1,1,1,0,0,0,already_hit,
S1-130264484,S3-971142453,S3,HIT,1,0,1,0,0,0,name_tfidf,
S1-901513537,S3-72355076,S3,HIT,1,1,1,0,0,0,already_hit,
S1-647822760,S3-197384808,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-981414798,S3-381585143,S3,HIT,1,1,1,0,1,0,already_hit,
S1-170998977,S2-494381545,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-940946868,S3-425133336,S3,HIT,1,1,1,1,0,0,already_hit,
S1-253674677,S3-775411372,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-708163208,S2-805713926,S2,HIT,1,0,1,0,1,0,already_hit,
S1-83312074,S3-276058385,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-237670057,S3-383977900,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-937138847,S3-331823461,S3,HIT,1,1,1,0,0,0,already_hit,
S1-208793878,S2-137826751,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-942590387,S2-715524033,S2,HIT,1,1,1,0,1,0,already_hit,
S1-609062608,S3-380125584,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-821458465,S3-652602080,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-21590818,S3-839903612,S3,HIT,1,1,1,0,1,0,already_hit,
S1-699941151,S2-247089456,S2,HIT,1,1,1,0,0,0,already_hit,
S1-332346191,S2-329636152,S2,HIT,1,1,1,0,0,0,already_hit,
S1-715320849,S3-374414075,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-424170762,S2-959040487,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-565144955,S2-728766872,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-220334720,S3-549256647,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-197764110,S2-15740637,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-791107630,S2-524355443,S2,HIT,1,1,1,1,0,0,already_hit,
S1-16609748,S3-400882561,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-451116961,S3-188017952,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-4989757,S2-302927324,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-219401270,S3-569970987,S3,HIT,1,1,1,1,0,0,already_hit,
S1-11494983,S3-845568044,S3,HIT,1,1,1,0,0,0,already_hit,
S1-638466806,S3-944048747,S3,HIT,1,1,1,0,0,0,already_hit,
S1-312473512,S3-411140113,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-560853131,S2-193065324,S2,HIT,1,0,1,0,0,0,name_tfidf,
S1-875691993,S2-294648785,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-434086049,S3-616017202,S3,HIT,1,1,1,0,0,0,already_hit,
S1-312111815,S2-243597476,S2,HIT,1,0,1,0,0,0,already_hit,
S1-875691993,S3-411073160,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-189831319,S3-652615681,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-85359133,S3-113471967,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-542687059,S3-39613630,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-258644838,S2-55283990,S2,HIT,1,1,1,0,0,0,already_hit,
S1-682477366,S3-491901633,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-665989323,S3-52668939,S3,HIT,1,1,1,0,0,0,already_hit,
S1-891013868,S3-349956925,S3,HIT,1,1,1,0,0,0,already_hit,
S1-152556345,S3-415992089,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-75897373,S2-683905584,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-127222577,S2-836906814,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-737635669,S3-857979338,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-786620416,S2-215270607,S2,HIT,1,1,1,0,0,0,already_hit,
S1-122618676,S2-943937483,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-518860674,S3-638350746,S3,HIT,1,1,1,1,0,0,already_hit,
S1-23351404,S2-194883347,S2,HIT,1,1,1,0,0,0,already_hit,
S1-699941151,S3-919514048,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-393818512,S3-830356800,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-352600381,S3-826942723,S3,HIT,1,1,1,0,0,0,already_hit,
S1-554902174,S3-892949901,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-176371732,S2-878184969,S2,HIT,1,1,1,1,0,0,already_hit,
S1-613517393,S3-655306599,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-60980827,S2-719386833,S2,HIT,1,1,1,1,0,0,already_hit,
S1-663137551,S3-752840558,S3,HIT,1,1,1,0,0,0,already_hit,
S1-352005417,S2-247639339,S2,HIT,1,1,1,1,1,0,already_hit,
S1-350653193,S3-827635126,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-236963798,S2-111203101,S2,HIT,1,0,1,0,0,0,name_tfidf,
S1-804171096,S2-46416429,S2,HIT,1,0,1,0,0,0,already_hit,
S1-341137832,S2-254354369,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-633523699,S2-811564407,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-203924219,S3-979062328,S3,HIT,1,0,1,0,0,0,already_hit,
S1-75134768,S2-170486292,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-236963798,S2-717890908,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-794999036,S2-478001431,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-304386686,S2-173246472,S2,HIT,1,0,1,0,0,0,name_tfidf,
S1-450548914,S3-990060897,S3,HIT,1,1,1,1,0,0,already_hit,
S1-508380113,S2-959767871,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-633819812,S2-960633324,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-983588293,S3-874694534,S3,HIT,1,1,1,1,0,0,already_hit,
S1-995078395,S3-634803812,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-112583852,S2-992916596,S2,HIT,1,1,1,1,0,0,already_hit,
S1-772468356,S2-8732076,S2,HIT,1,1,1,0,0,0,already_hit,
S1-928740863,S2-159901394,S2,HIT,1,1,1,0,0,0,already_hit,
S1-552544757,S2-843039474,S2,HIT,1,1,1,0,0,0,already_hit,
S1-56520129,S2-532872338,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-296323848,S2-47973133,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-63162461,S3-629489969,S3,HIT,1,0,1,0,0,0,name_tfidf,
S1-104065800,S3-248343538,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-395813861,S3-314401223,S3,HIT,1,0,1,0,0,0,already_hit,
S1-449643256,S3-463040798,S3,MISSED,0,0,0,0,0,0,none,extreme_distortion_or_disjoint_tokens
S1-394715818,S2-213041287,S2,HIT,1,1,1,1,0,0,already_hit,
S1-621386822,S2-792501876,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-945468102,S3-128311051,S3,HIT,1,1,1,1,0,0,already_hit,
S1-21376915,S3-714457361,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-74600852,S2-737642736,S2,HIT,1,1,1,1,0,0,already_hit,
S1-85500745,S2-969930748,S2,HIT,1,1,1,1,0,0,already_hit,
S1-491878623,S3-172618829,S3,HIT,0,1,0,0,0,0,already_hit,
S1-196317991,S2-266959026,S2,HIT,1,1,1,0,0,0,already_hit,
S1-502391969,S3-83913239,S3,HIT,1,0,1,0,0,0,already_hit,
S1-566137077,S2-484426288,S2,HIT,1,1,1,0,1,0,already_hit,
S1-306275226,S2-206990551,S2,HIT,1,1,1,1,0,0,already_hit,
S1-919043101,S3-31258112,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-588939036,S2-673764453,S2,HIT,1,1,1,1,0,0,already_hit,
S1-604067124,S3-836369735,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-786043456,S3-338260813,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-708417088,S3-128551007,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-432152596,S3-313632470,S3,HIT,1,1,1,1,0,0,already_hit,
S1-149526155,S2-535853845,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-692096873,S3-234079848,S3,HIT,0,0,0,0,0,0,already_hit,
S1-515382913,S2-947647479,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-178384024,S2-920614126,S2,HIT,0,1,0,1,0,0,already_hit,
S1-541962667,S2-727464909,S2,HIT,1,1,1,0,0,0,already_hit,
S1-279145576,S3-88160589,S3,HIT,1,1,1,1,0,0,already_hit,
S1-887816750,S3-77869171,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-447103941,S3-556786353,S3,HIT,0,0,0,0,0,0,none,
S1-89160825,S3-134857967,S3,HIT,1,0,1,0,0,0,already_hit,
S1-589253257,S2-231096085,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-812553864,S3-535438356,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-709888578,S3-900522356,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-526403434,S3-713681097,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-156883486,S2-401226343,S2,HIT,1,1,1,1,0,0,already_hit,
