s1_id	target_id	target_source	s1_name	s1_address	s1_country	target_country	shared_tokens	diagnosed_reason
S1-730390312	S2-951826159	S2	aditi marketing pvt ltd	nagpur maharashtra viktubaba nagar ring road jariparka plot no 28 nagpur	india	india	aditi,pvt,ltd	partial_token_overlap_unindexed
S1-383003906	S2-478224641	S2	hoffman and britt llc	1654 carlyon avenue fl 1 olympia wa	us	us	hoffman,and,britt	partial_token_overlap_unindexed
S1-268169736	S2-922191499	S2	hitech prime projects private limited	a 56 sector 72a near dpg college tikri dlf qe gurgaon haryana	india	india	private,limited	partial_token_overlap_unindexed
S1-197934161	S2-121793836	S2	verrify communications llc	3745 english avenue eaton ny	us	us	verrify,communications	partial_token_overlap_unindexed
S1-46998318	S3-66697427	S3	kora d cohen dds llc	3504 15th avenue pine bluff ar	us	us	cohen,d,kora,dds	partial_token_overlap_unindexed
S1-237412958	S2-425049442	S2	surgical supreme care corp	el dorado 2006 elm street ar	us	us	care,surgical,corp	partial_token_overlap_unindexed
S1-743338929	S2-238186444	S2	south consulting private limited	the avenue unit no 109 1111st floor international airport road opp hotel lee la andheri east mumbai maharashtra	india	india		empty_or_missing_name
S1-581924464	S2-327483090	S2	surya business limited	h no 8 3 210 2 srinivasa colony maithrivanam hyderabad telangana	india	india	limited	partial_token_overlap_unindexed
S1-301057863	S3-627677950	S3	grace catholic church group	72 frances street ny auburn	us	us	catholic,church,grace	partial_token_overlap_unindexed
S1-123067808	S3-469333731	S3	hyderabad traders pvt ltd	plot no 983 ground floor near cgr international school ayyappa society madhapur hyderabad telangana	india	india	pvt,ltd,hyderabad	partial_token_overlap_unindexed
S1-112553621	S3-2077443	S3	a cure 7 you	1301 scottsdale road unit unit 3091 scottsdale az	us	us	cure,a,7	partial_token_overlap_unindexed
S1-418423816	S2-244371989	S2	barnes campbell and hillman guaranty inc	35 madison avenue unit apartment 1c spring valley ny	us	us	inc,guaranty,barnes,and,campbell	partial_token_overlap_unindexed
S1-523155797	S3-586087436	S3	jones olive p a m d p c	6721 hickory road chesterfield county va	us	us		zero_shared_tokens_transliteration
S1-333216393	S2-711965255	S2	halcari reserve llc	214 willowbrook drive west norriton township pa	us	us	llc,reserve	partial_token_overlap_unindexed
S1-898449101	S2-668519564	S2	arihant trading llp	shop no 1 ground floor atta market noida gautam buddha nagar uttar pradesh noida	india	india	llp,arihant,trading	partial_token_overlap_unindexed
S1-743857557	S3-933289917	S3	doreen terrell allied broadband	240 summer street franklin ma	us	us		zero_shared_tokens_transliteration
S1-852017384	S2-668451301	S2	cj industries private limited	2 2 1109 b ganga bowli amberpet hyderabad telangana	india	india	industries,cj,limited	partial_token_overlap_unindexed
S1-321879016	S2-863798620	S2	ocasio trading pllc	7311 lynn cove lane unit l raleigh nc	us	us	pllc,ocasio,trading	partial_token_overlap_unindexed
S1-813496958	S3-731174523	S3	pratishtha charitable trust	b 289 3rd floor kh no 271 chattarpur enclave south west delhi delhi	india	india	pratishtha,trust,charitable	partial_token_overlap_unindexed
S1-295805789	S2-708562874	S2	ramirez starry llc	618 henderson street fl 1 galesburg il	us	us		zero_shared_tokens_transliteration
S1-176496041	S3-221355706	S3	gold dynamic properties limited	b 13 dainik janyug apartments c 1 vasundhra enclave delhi	india	india		empty_or_missing_name
S1-56798234	S3-845165652	S3	yt capital llc	1285 berkshire lane grayslake il	us	us	llc,yt	partial_token_overlap_unindexed
S1-165847829	S2-925020854	S2	klein choice charles corp	augusta 19 boulder avenue me	us	us	corp,klein,charles	partial_token_overlap_unindexed
S1-183884441	S3-181183080	S3	west rocky corporation	23 purchase street unit 1 newburyport ma	us	us	rocky,west	partial_token_overlap_unindexed
S1-572543543	S3-15469321	S3	sap india private limited	k v rangareddy telangana uppal no d 413 4th floor sri tirumala millennium 3	india	india	sap,limited,india	partial_token_overlap_unindexed
S1-324217499	S3-445471634	S3	fortune producer private limited	sno s101 dno 769 2nd flr spencer plaza chennai tamil nadu	india	india		empty_or_missing_name
S1-155814648	S2-362051495	S2	sweet barbershop inc	2116 marsh lane unit 504 carrollton tx	us	us		zero_shared_tokens_transliteration
S1-679923653	S3-334453187	S3	mallorie f clark dpm	161 cleaves street unit apartment 4 biddeford me	us	us	dpm,f,mallorie,clark	partial_token_overlap_unindexed
S1-182818424	S3-700949892	S3	cold global private limited	q 358 pallav puram phase ii meerut uttar pradesh	india	india	global,cold	partial_token_overlap_unindexed
S1-641720845	S3-192268324	S3	city trading private limited	7th floor vuda bhavan near vuda circle vip road karelibaug vadodara gujarat	india	india		empty_or_missing_name
S1-357079669	S3-421808896	S3	innovative properties limited	office no 212 on 2nd floor raj shrungi building at palace road opp ashapura mata mandir rajkot rajkot gujarat	india	india		empty_or_missing_name
S1-768767266	S2-417890148	S2	rocky collective inc	5533 darling street houston tx	us	us	inc,rocky	partial_token_overlap_unindexed
S1-106480523	S3-618092794	S3	north services	survey no 807 ida medchal ranga reddy district rangareddy telangana	india	india	north,services	partial_token_overlap_unindexed
S1-613137824	S2-368741339	S2	first transit corporation	89 highland avenue fl floor 1 buffalo ny	us	us	first,corporation	partial_token_overlap_unindexed
S1-456572221	S3-769013296	S3	creative shyam ventures private limited	site no 16 athipalayam road chinnavadampatti coimbatore tamil nadu	india	india	creative,private,ventures,limited	partial_token_overlap_unindexed
S1-345806596	S3-163357213	S3	office of housing	39 donna lane bristol ct	us	us	office,housing,of	partial_token_overlap_unindexed
S1-658758977	S3-862243695	S3	gulf red llc	1289 1300 pleasant grove ut	us	us		zero_shared_tokens_transliteration
S1-586487532	S3-753361906	S3	p g nova co	3265 landrey boulevard nederland tx	us	us	p,g,nova	partial_token_overlap_unindexed
S1-60946319	S3-730500969	S3	montgomery bright ultra	pearland 3617 mahogany trail tx	us	us		zero_shared_tokens_transliteration
S1-855217822	S3-634511272	S3	ghaziabad developers private limited	r k puram ghaziabad h no b 28 uttar pradesh ghaziabad	india	india	private,developers,limited,ghaziabad	partial_token_overlap_unindexed
S1-523035722	S3-206721000	S3	wood health center llc	244 shook cove road tuckasegee nc	us	us	wood,health,llc	partial_token_overlap_unindexed
S1-100946908	S2-264387631	S2	twisted bakery	457 kings court akron oh	us	us		zero_shared_tokens_transliteration
S1-787256882	S3-141099277	S3	pino gulf renaissancere llc	360 2025 unit 62 centerville ut	us	us	renaissancere,gulf,llc,pino	partial_token_overlap_unindexed
S1-605428668	S3-366243632	S3	beth chapel	814 highland avenue wooster oh	us	us	beth,chapel	partial_token_overlap_unindexed
S1-739752911	S2-120937640	S2	aditya developers private limited	no 38 4 2nd floor rangarao road shanakarapuram basavanagudi bangalore karnataka	india	india	private,aditya,limited	partial_token_overlap_unindexed
S1-484659365	S3-686173932	S3	north pediatrics lp	469 clifton drive dennard ar	us	us	north,pediatrics	partial_token_overlap_unindexed
S1-731704064	S2-559014217	S2	anchor supply holdings	28 beech glen drive black mountain nc	us	us	anchor,supply	partial_token_overlap_unindexed
S1-494048904	S2-192260169	S2	lotus infra private limited	40 9 ram nagar opp dr sardana hospital karnal haryana	india	india		empty_or_missing_name
S1-974036117	S3-69278580	S3	lotus estate pvt ltd	02 175 main road iskapalem tp gudur iskapalem nellore andhra pradesh nellore andhra pradesh	india	india	lotus,estate	partial_token_overlap_unindexed
S1-370224889	S3-347409428	S3	fassett s research corp	5 knight street sanford me	us	us		zero_shared_tokens_transliteration
S1-330250935	S3-368268925	S3	malappuram ai corp	old no i 896 new no 680 a nettukkattil house parammal kuttippuram malappuram malappuram malapuram kerala	india	india		zero_shared_tokens_transliteration
S1-419304665	S3-474166180	S3	akola glove llp	168 tambaour road near goverment hospital biswan sitapur uttar pradesh	india	india	llp,akola	partial_token_overlap_unindexed
S1-511388403	S3-733914044	S3	harbor outdoor llc	st peters mo 27 wendy lane	us	us	llc,harbor	partial_token_overlap_unindexed
S1-960970462	S3-617232881	S3	aditya investment	vl 469 vaddagere koratagere koratagere tumkur karnataka	india	india	aditya,investment	partial_token_overlap_unindexed
S1-499229776	S3-103305128	S3	marketing management hills ltd	panchayat 2 21 danthanpally utnoor adilabad telangana	india	india	hills,marketing,management	partial_token_overlap_unindexed
S1-895621536	S2-709260678	S2	south finance private limited	c 25 sector 62 stellar it park 4th floor noida gautam buddha nagar uttar pradesh	india	india		empty_or_missing_name
S1-910915756	S2-625994011	S2	mgm infrastructure	12 mahatma sisir kumar saranigalif st kolkata howrah west bengal	india	india	mgm,infrastructure	partial_token_overlap_unindexed
S1-961446390	S2-676467478	S2	uttar nidhi private limited	shahdara delhi shahdara gali no 16 vishwas nagar 460 b 3 ug f new 25 46	india	india	private,nidhi,uttar	partial_token_overlap_unindexed
S1-264533506	S3-327296171	S3	personal services india private limited	25 40 everest co op housing society d road dombivli thane maharashtra	india	india	private,services,personal,india	partial_token_overlap_unindexed
S1-329541680	S2-110279409	S2	first green wireless lp	23 woodside circle sturbridge ma	us	us	lp,first,wireless	partial_token_overlap_unindexed
S1-800294363	S2-90945076	S2	great investments private limited	106 8th main road malleswaram west bangalore karnataka	india	india		empty_or_missing_name
S1-797713949	S3-147179084	S3	projects shakti solution ltd	regal paradise ph i awadhpuri khajuri huzur madhya pradesh bhopal mig 802	india	india		zero_shared_tokens_transliteration
S1-796692921	S2-399949377	S2	laney advertising inc	6514 chickasaw street phoenix az	us	us	inc,laney	partial_token_overlap_unindexed
S1-479849368	S2-398108915	S2	michel choice thayer inc	10801 33rd place tulsa ok	us	us	michel,inc,choice	partial_token_overlap_unindexed
S1-558696248	S3-619447565	S3	sai power private limited	110 a 8th a cross bommasandra indl area bangalore bangalore karnataka	india	india		empty_or_missing_name
S1-796628292	S2-1711068	S2	cube technologies private limited	flat no a 17 503 park infinia s no 214 220 221 bhekarainagar fursungi pune maharashtra	india	india	private,limited,cube	partial_token_overlap_unindexed
S1-960071581	S3-438507634	S3	midwest hub	4163 beachcomber lane lanark il	us	us	hub	partial_token_overlap_unindexed
S1-447990301	S3-77343207	S3	lee generation inc	144 walnut avenue unit 2 norwood ma	us	us		zero_shared_tokens_transliteration
S1-67208711	S3-426941793	S3	miriam bautista m d p c llc	1326 o keefe avenue celina tx	us	us	llc,bautista,c,miriam,p	partial_token_overlap_unindexed
S1-818280924	S3-920799060	S3	urban swastik global limited	lp 3 81 ground floor 1078 jessore road kolkata parganas north west bengal	india	india		empty_or_missing_name
S1-825346251	S3-112250041	S3	galaxy healthcare private limited	sraddha lakshmi 50 5th cross 10th main indiranagar bangalore karnataka	india	india		empty_or_missing_name
S1-81523269	S2-302711886	S2	international consulting limited	6th floor d building mbc it park g b road near wadavali police kasarwadavali kasarwadavali thane maharashtra	india	india		empty_or_missing_name
S1-820983126	S2-308000659	S2	creative foundation private limited	vill roshan pur jagirp o hasupurwa bijnor uttar pradesh bijnor bijnore uttar pradesh	india	india		empty_or_missing_name
S1-628436260	S2-688626490	S2	hotel consulting private limited	1 654 vishal khandgomti nagar lucknow uttar pradesh lucknow uttar pradesh	india	india		empty_or_missing_name
S1-165218161	S3-419288322	S3	sosa cassandry o d m d p c	14 hammock point fuquay varina nc	us	us	d,m,cassandry,o,sosa	partial_token_overlap_unindexed
S1-434852732	S3-510410822	S3	hawkins liberty chase llc	10011 payson road phoenix az	us	us	liberty,llc,hawkins	partial_token_overlap_unindexed
S1-269065632	S2-760291423	S2	murillo superior futurewave llc	1417 heathers mist avenue charlotte nc	us	us	murillo,superior	partial_token_overlap_unindexed
S1-185557895	S2-866780648	S2	ram ventures pvt ltd	office no 809 plot 2 kamdhenu commerz sec 14 k panvel raigarh mh maharashtra	india	india		empty_or_missing_name
S1-353015643	S2-56682081	S2	aggi tracy pro inc	304 14th street unit apartment 2 buffalo ny	us	us	inc,pro,aggi	partial_token_overlap_unindexed
S1-598063315	S3-293360591	S3	thirumala brothers private limited	7 23m t p road n s n palayam coimbatore tamil nadu	india	india	limited,thirumala,brothers	partial_token_overlap_unindexed
S1-927177398	S3-907698511	S3	secure pebblebrook inc	16704 2000th street marshall il	us	us	secure,pebblebrook	partial_token_overlap_unindexed
S1-812076174	S3-728948950	S3	dill and huff public llc	1014 hines street republic mo	us	us	public,dill,llc,and	partial_token_overlap_unindexed
S1-282899614	S3-359711446	S3	western offshore	5100 georgia avenue unit 409 washington dc	us	us		zero_shared_tokens_transliteration
S1-371814600	S2-738243159	S2	heidi w cortes l c s w	246 northpoint avenue huntington in	us	us	w,s,l,cortes,c,heidi	partial_token_overlap_unindexed
S1-184948045	S3-916844164	S3	rae s choice skin care	7 jackson cove road nc leicester	us	us	care,choice,rae,skin,s	partial_token_overlap_unindexed
S1-90576892	S2-838443348	S2	iv solutions llp	toopran telangana survey no 148 narasapur road venkatapur pt village toopran mandal west godavari	india	india	iv,solutions	partial_token_overlap_unindexed
S1-982921700	S2-869502263	S2	ipd funds private limited	2 ff krishna complex ms 1 13 sector a ram ram lucknow uttar pradesh	india	india		zero_shared_tokens_transliteration
S1-792234199	S3-842779718	S3	kramer and hebert inc	md unit 612 fort washington 2602 brinkley road	us	us	hebert,inc,kramer	partial_token_overlap_unindexed
S1-868689834	S3-492787078	S3	jai traders ltd	2 partugiz church street calcutta west bengal	india	india	traders,jai	partial_token_overlap_unindexed
S1-459991058	S2-426906459	S2	shakti international limited	1st floor udaya building college road ambakkaden junction kerala tc 12 2294 thrissur	india	india		empty_or_missing_name
S1-869128438	S3-151052320	S3	international power pvt ltd	plot no 5 local shoppingcomplex vardhman royal plaza gujrawala town delhi	india	india	pvt,ltd,international	partial_token_overlap_unindexed
S1-598560016	S3-35059348	S3	best power	123 75 saresh bagh gararianpurwa fazalganj kanpur uttar pradesh	india	india	best	partial_token_overlap_unindexed
S1-457385885	S2-529896243	S2	cinderella mills lifestyle llc	720 12th street larned ks	us	us	cinderella,llc,mills	partial_token_overlap_unindexed
S1-755861525	S2-229877354	S2	bombay procon india pvt ltd	14 260 b doyes opp alind serilingampally hyderabad telangana	india	india	india,pvt,bombay,procon,ltd	partial_token_overlap_unindexed
S1-616755144	S3-608438229	S3	keystone llc	72 r m way mead ok	us	us	llc	partial_token_overlap_unindexed
S1-438430300	S3-14141327	S3	urban logistics private limited	a 15 fourth floor lajpat nagar new delhi new delhi south delhi delhi	india	india		empty_or_missing_name
S1-950783420	S2-399613831	S2	memorial charities	oh 280 buckingham street newark	us	us	memorial,charities	partial_token_overlap_unindexed
S1-865908516	S3-376789172	S3	white international pvt ltd	a 404 bldg no 29 wing a subhash nagar chembur mumbai mumbai city maharashtra	india	india		zero_shared_tokens_transliteration
S1-146144824	S3-959351945	S3	james summit world	303 county road 421 satin tx	us	us	summit,james	partial_token_overlap_unindexed
S1-61900741	S3-164727489	S3	global sim inc	303 wild ginger court fl 1 columbia mo	us	us	sim,global	partial_token_overlap_unindexed
S1-121982108	S3-445899776	S3	prairie coalition of buffalo iv llc	ks buffalo 245 scotsman road	us	us	buffalo,prairie,of,coalition,iv	partial_token_overlap_unindexed
S1-499308314	S3-361786499	S3	frasier occupational therapy inc	43893 reeds lake road janesville mn	us	us		zero_shared_tokens_transliteration
S1-926018314	S2-269390198	S2	x t weinstein painting	8049 bay bend drive willis tx	us	us	x,t,painting,weinstein	partial_token_overlap_unindexed
S1-553330268	S2-977190043	S2	tech care private limited	41 jeliapara lane po salkia lp 57 16 howrah howrah west bengal	india	india		empty_or_missing_name
S1-925545499	S3-958403973	S3	ganga buildcon pvt ltd	84 krishna nagar shekhawat marg sirsi road jaipur rajasthan	india	india		zero_shared_tokens_transliteration
S1-795467997	S3-83911844	S3	bureau of sanitation	212 13th street farmington mn	us	us	sanitation,bureau,of	partial_token_overlap_unindexed
S1-749979100	S2-947426425	S2	star cascade engineering inc	236 pleasant hill road scarborough me	us	us	star,engineering,cascade	partial_token_overlap_unindexed
S1-186748283	S2-665351226	S2	eastern endocrinology	567 rolling oak court vacaville ca	us	us	eastern	partial_token_overlap_unindexed
S1-84083509	S3-758141462	S3	midc area travels public limited	j 114 midc area jalgaon maharashtra	india	india	public,area,limited,midc	partial_token_overlap_unindexed
S1-548852318	S3-464666333	S3	superior research alliance inc	12602 epping road md silver spring	us	us	inc,alliance,superior	partial_token_overlap_unindexed
S1-760816941	S3-452171887	S3	rishika and co	s 553 554 school block shakarpur new delhi delhi	india	india	rishika	partial_token_overlap_unindexed
S1-18420258	S2-466542334	S2	cardiology quality health llc	5069 poplar glen drive indian trail nc	us	us	llc,cardiology,quality	partial_token_overlap_unindexed
S1-792880767	S3-902893136	S3	gray financial llc	404 coxs fork road danville wv	us	us	financial,gray	partial_token_overlap_unindexed
S1-314207684	S2-708552114	S2	shakti enterprises private limited	no15 316 salarpuriahallmark 4thfloor kadubeesanahalli outerringroad bangalore karnataka	india	india		empty_or_missing_name
S1-597539565	S2-230636316	S2	odisha technology	h no 8 3 228 1280 390 jawahar nagar s k nagar yousufguda hyderabad telangana	india	india	odisha,technology	partial_token_overlap_unindexed
S1-16541529	S3-336949967	S3	shyam projects private limited	surat gujarat surat shiv shakti ind estate vill sanki ta palsana dist plot no 72 to 76	india	india	shyam,projects,limited	partial_token_overlap_unindexed
S1-832115704	S3-514986956	S3	too solutions private limited	a 20 2c chet ram gali mouj pur delhi north east delhi	india	india		zero_shared_tokens_transliteration
S1-481261914	S2-88404967	S2	grand management llc	173 brevator street albany ny	us	us	management,grand	partial_token_overlap_unindexed
S1-5196687	S3-406862797	S3	superior trading consultants llc	1013 lake forest drive weddington nc	us	us	llc,consultants,superior,trading	partial_token_overlap_unindexed
S1-692361226	S3-227463818	S3	balaji constructions private limited	wz 8d 1 asalatpur a 2 block janak puri new delhi west delhi delhi	india	india	private,balaji,constructions	partial_token_overlap_unindexed
S1-744403700	S2-632337176	S2	lotus consulting	50 sanjay colony ward no 07 dandapura vidisha madhya pradesh	india	india		empty_or_missing_name
S1-49219863	S3-84557643	S3	s i token llc	1200 old martindale road san marcos tx	us	us	s,i,token	partial_token_overlap_unindexed
S1-272831981	S2-182133289	S2	capital equity partners	5525 mcleod lane unit 401 keizer or	us	us	partners,capital,equity	partial_token_overlap_unindexed
S1-718700810	S2-813646172	S2	mendez resource llc	watertown 27 hillcrest circle unit 2 ma	us	us	llc,mendez	partial_token_overlap_unindexed
S1-142151995	S2-769567558	S2	gomez empire imperial llc	9903 205th avenue wa bonney lake	us	us	empire,imperial,gomez	partial_token_overlap_unindexed
S1-382549381	S3-712921315	S3	triolo moreno and pinedo inc	981 signal crossing nashville tn	us	us		zero_shared_tokens_transliteration
S1-202971690	S3-676322873	S3	noelani cruz heritage construction inc	1214 main street ar flippin	us	us	construction,cruz,noelani,heritage	partial_token_overlap_unindexed
S1-804955332	S2-443509669	S2	eastern consulting pvt ltd	s osh ram kishan rzk 43 5 s f no 85 1 2 nihal vihar new delhi west delhi delhi	india	india		empty_or_missing_name
S1-711789509	S3-369787250	S3	keystone solarius llc	3299 sarabee lane memphis tn	us	us	keystone,solarius	partial_token_overlap_unindexed
S1-149922172	S3-208607670	S3	american resources llc	brooklyn 1732 flatbush avenue ny	us	us	american,resources	partial_token_overlap_unindexed
S1-116361766	S3-124477573	S3	urgent care health llc	unit 1d 9340 canterchase drive oh miamisburg	us	us	health,urgent,llc,care	partial_token_overlap_unindexed
S1-976423900	S3-634162334	S3	desert ridge data	636 jefferson avenue venice il	us	us	desert,data,ridge	partial_token_overlap_unindexed
S1-882510535	S2-703563413	S2	interfaith ministries llc	2253 clearview circle benicia ca	us	us	ministries,interfaith	partial_token_overlap_unindexed
S1-333373551	S3-268299150	S3	anderson carranza and blumenberg athene llc	2412 8th street canton oh	us	us		zero_shared_tokens_transliteration
S1-651962224	S2-382167166	S2	hadley delta rent	28019 fm 1488 hockley tx	us	us	rent,hadley,delta	partial_token_overlap_unindexed
S1-173333217	S3-139271503	S3	alma india solutions private limited	no 110 mogappair eri scheme chennai tamil nadu	india	india	solutions,private,alma,india	partial_token_overlap_unindexed
S1-799632615	S3-447938200	S3	sanchez studios inc	8221 chancellor row dallas tx	us	us		zero_shared_tokens_transliteration
S1-499302167	S3-112108004	S3	shree industries private limited	plot no 265 g i d c estate sachin surat gujarat	india	india		empty_or_missing_name
S1-578764126	S2-87211941	S2	murphy davis and mitchell llc	17 lawn avenue quincy ma	us	us		zero_shared_tokens_transliteration
S1-537720196	S3-795593938	S3	pediatric dentistry summit medicine lp	536 194 west jefferson nc	us	us	dentistry,medicine,pediatric,summit	partial_token_overlap_unindexed
S1-182887772	S3-485605538	S3	special collar private limited	c 3 801 narayan sanskruti near vikrama duplex sunpharma atladra link road vadodara gujarat	india	india	special,collar,limited	partial_token_overlap_unindexed
S1-743044129	S2-914402361	S2	galaxy trading private limited	16 haridham estate ahmedabad gujarat ahmadabad city nradarsh ii opp gurudwara	india	india	private,galaxy,trading	partial_token_overlap_unindexed
